Interest Code,Job Zone,Code,Occupation,Featured
ASE,1-2,27-2011.00,Actors,Y
ACR,1-2,39-3092.00,Costume Attendants,Y
AEC,1-2,27-2091.00,"Disc Jockeys, Except Radio",Y
ARE,1-2,41-9012.00,Models,Y
SA,1-2,39-9011.00,Childcare Workers,Y
RAC,1-2,51-9194.00,Etchers and Engravers,Y
RAC,1-2,27-1023.00,Floral Designers,Y
RAC,1-2,51-7021.00,Furniture Finishers,Y
RAC,1-2,51-9123.00,"Painting, Coating, and Decorating Workers",Y
RAC,1-2,51-9195.03,"Stone Cutters and Carvers, Manufacturing",Y
RA,1-2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",Y
RAC,1-2,51-6093.00,Upholsterers,Y
RCA,1-2,47-2142.00,Paperhangers,Y
RCA,1-2,51-6041.00,Shoe and Leather Workers and Repairers,Y
ARC,3,27-4031.00,"Camera Operators, Television, Video, and Film",Y
AS,3,27-2032.00,Choreographers,Y
AR,3,27-1012.00,Craft Artists,Y
ARS,3,27-2031.00,Dancers,Y
ARE,3,27-1022.00,Fashion Designers,Y
AR,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Y
AR,3,39-5091.00,"Makeup Artists, Theatrical and Performance",Y
ARE,3,27-1026.00,Merchandise Displayers and Window Trimmers,Y
CAR,3,43-9031.00,Desktop Publishers,Y
RAC,3,51-6092.00,Fabric and Apparel Patternmakers,Y
RAC,3,51-9071.00,Jewelers and Precious Stone and Metal Workers,Y
RAC,3,51-7032.00,"Patternmakers, Wood",Y
RA,3,27-4021.00,Photographers,Y
SA,3,25-2011.00,"Preschool Teachers, Except Special Education",Y
SA,3,25-3021.00,Self-Enrichment Teachers,Y
RAC,3,27-4014.00,Sound Engineering Technicians,Y
RCA,3,17-3011.00,Architectural and Civil Drafters,Y
RSA,3,35-2013.00,"Cooks, Private Household",Y
RCA,3,51-7031.00,"Model Makers, Wood",Y
RCA,3,49-9063.00,Musical Instrument Repairers and Tuners,Y
AE,4,27-1011.00,Art Directors,Y
AES,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Y
ARI,4,27-1021.00,Commercial and Industrial Designers,Y
ACE,4,27-3041.00,Editors,Y
AC,4,27-4032.00,Film and Video Editors,Y
AC,4,27-1024.00,Graphic Designers,Y
AR,4,27-1025.00,Interior Designers,Y
AE,4,27-2041.00,Music Directors and Composers,Y
AE,4,27-2042.00,Musicians and Singers,Y
AIE,4,27-3023.00,"News Analysts, Reporters, and Journalists",Y
AI,4,27-3043.05,"Poets, Lyricists and Creative Writers",Y
AE,4,27-2012.00,Producers and Directors,Y
AR,4,27-1014.00,Special Effects Artists and Animators,Y
AI,4,15-1255.01,Video Game Designers,Y
AE,4,27-3043.00,Writers and Authors,Y
SA,4,25-2012.00,"Kindergarten Teachers, Except Special Education",Y
SAI,4,29-1129.02,Music Therapists,Y
EAS,4,27-3031.00,Public Relations Specialists,Y
SA,4,25-2051.00,"Special Education Teachers, Preschool",Y
EAS,4,27-2012.04,Talent Directors,Y
IAC,4,15-1255.00,Web and Digital Interface Designers,Y
A,5,27-1027.00,Set and Exhibit Designers,Y
IA,5,19-3091.00,Anthropologists and Archeologists,Y
SA,5,29-1129.01,Art Therapists,Y
SA,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Y
IA,5,19-3094.00,Political Scientists,Y
RCA,5,17-1011.00,"Architects, Except Landscape and Naval",Y
SIA,5,25-1031.00,"Architecture Teachers, Postsecondary",Y
SIA,5,25-1123.00,"English Language and Literature Teachers, Postsecondary",Y
SIA,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Y
ISA,5,19-3041.00,Sociologists,Y
