Interest Code,Job Zone,Code,Occupation,Featured
CSR,1-2,39-3091.00,Amusement and Recreation Attendants,Y
CES,1-2,43-3011.00,Bill and Account Collectors,
C,1-2,43-3021.00,Billing and Posting Clerks,
CE,1-2,43-5011.00,Cargo and Freight Agents,Y
CE,1-2,41-2011.00,Cashiers,Y
CRI,1-2,51-9162.00,Computer Numerically Controlled Tool Programmers,Y
CE,1-2,43-4021.00,Correspondence Clerks,
CES,1-2,41-2021.00,Counter and Rental Clerks,
CR,1-2,43-5021.00,Couriers and Messengers,Y
CES,1-2,43-4031.00,"Court, Municipal, and License Clerks",
CES,1-2,43-4041.00,"Credit Authorizers, Checkers, and Clerks",
CES,1-2,43-4051.00,Customer Service Representatives,Y
CR,1-2,43-9021.00,Data Entry Keyers,
CR,1-2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",
CRS,1-2,35-3023.00,Fast Food and Counter Workers,Y
C,1-2,43-4071.00,File Clerks,
CSR,1-2,53-2031.00,Flight Attendants,Y
CER,1-2,43-5011.01,Freight Forwarders,Y
CE,1-2,39-3012.00,Gambling and Sports Book Writers and Runners,
CE,1-2,43-3041.00,Gambling Cage Workers,
CE,1-2,41-2012.00,Gambling Change Persons and Booth Cashiers,
CER,1-2,39-3011.00,Gambling Dealers,
CER,1-2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,
CSE,1-2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",Y
CE,1-2,43-9041.00,Insurance Claims and Policy Processing Clerks,
CS,1-2,43-4121.00,"Library Assistants, Clerical",
CRS,1-2,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",Y
CR,1-2,45-4023.00,Log Graders and Scalers,
CR,1-2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",
CS,1-2,43-6013.00,Medical Secretaries and Administrative Assistants,Y
CR,1-2,43-5041.00,"Meter Readers, Utilities",
C,1-2,43-9061.00,"Office Clerks, General",Y
CR,1-2,43-9071.00,"Office Machine Operators, Except Computer",
CE,1-2,43-4151.00,Order Clerks,
CSR,1-2,53-6061.00,Passenger Attendants,Y
CER,1-2,31-9095.00,Pharmacy Aides,
CR,1-2,43-5051.00,Postal Service Clerks,
CR,1-2,43-5052.00,Postal Service Mail Carriers,
CR,1-2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",
CR,1-2,51-5113.00,Print Binding and Finishing Workers,
