Interest Code,Job Zone,Code,Occupation,Featured
ECR,1-2,53-1041.00,Aircraft Cargo Handling Supervisors,Y
EC,1-2,41-9011.00,Demonstrators and Product Promoters,Y
ECR,1-2,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Y
ERC,1-2,13-1074.00,Farm Labor Contractors,Y
ECS,1-2,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Y
ECR,1-2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,Y
ECR,1-2,39-1013.00,First-Line Supervisors of Gambling Services Workers,Y
ECS,1-2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Y
ECR,1-2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,Y
EC,1-2,33-1012.00,First-Line Supervisors of Police and Detectives,Y
ECS,1-2,41-1011.00,First-Line Supervisors of Retail Sales Workers,Y
ECR,1-2,33-1091.00,First-Line Supervisors of Security Workers,Y
ECR,1-2,11-9051.00,Food Service Managers,Y
EC,1-2,11-9071.00,Gambling Managers,Y
ECS,1-2,11-9131.00,Postmasters and Mail Superintendents,Y
ECS,1-2,41-9022.00,Real Estate Sales Agents,Y
ECR,1-2,53-1042.01,Recycling Coordinators,
EC,1-2,41-2031.00,Retail Salespersons,Y
ECS,1-2,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Y
ECS,1-2,41-9041.00,Telemarketers,Y
ECR,1-2,27-2023.00,"Umpires, Referees, and Other Sports Officials",Y
CE,1-2,43-5011.00,Cargo and Freight Agents,Y
ECS,3,11-3012.00,Administrative Services Managers,Y
ECA,3,41-3011.00,Advertising Sales Agents,
ERC,3,35-1011.00,Chefs and Head Cooks,Y
ECR,3,11-3013.00,Facilities Managers,Y
ECR,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Y
ECS,3,33-1011.00,First-Line Supervisors of Correctional Officers,Y
ERC,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Y
ERC,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,Y
ECR,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Y
ECR,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Y
ECR,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Y
ECS,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Y
ECS,3,53-1044.00,First-Line Supervisors of Passenger Attendants,Y
ECS,3,39-1022.00,First-Line Supervisors of Personal Service Workers,Y
ECR,3,51-1011.00,First-Line Supervisors of Production and Operating Workers,Y
ECS,3,11-9171.00,Funeral Home Managers,Y
ECR,3,41-4011.07,Solar Sales Representatives and Assessors,
ECS,3,11-9179.02,Spa Managers,Y
ECS,3,41-3041.00,Travel Agents,Y
ECR,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Y
ECR,3,11-9199.09,Wind Energy Operations Managers,
CE,3,43-6012.00,Legal Secretaries and Administrative Assistants,Y
ECA,4,11-2011.00,Advertising and Promotions Managers,
ESC,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Y
ECR,4,11-3051.03,Biofuels Production Managers,
ECI,4,13-1199.04,Business Continuity Planners,Y
ECR,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Y
ECS,4,11-3111.00,Compensation and Benefits Managers,
ECR,4,11-9021.00,Construction Managers,Y
ECI,4,11-9161.00,Emergency Management Directors,
ECS,4,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",
ECS,4,13-1041.03,Equal Opportunity Representatives and Officers,
ERC,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Y
EC,4,11-3031.00,Financial Managers,Y
ECS,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,
ESC,4,13-1131.00,Fundraisers,
ECS,4,11-2033.00,Fundraising Managers,
EC,4,11-1021.00,General and Operations Managers,Y
ECS,4,11-3121.00,Human Resources Managers,Y
ECS,4,13-1071.00,Human Resources Specialists,
ECR,4,11-3051.00,Industrial Production Managers,
ECI,4,15-1299.09,Information Technology Project Managers,Y
ECS,4,41-3021.00,Insurance Sales Agents,
ECS,4,13-1075.00,Labor Relations Specialists,
ESC,4,11-1031.00,Legislators,
ECS,4,11-9081.00,Lodging Managers,
ECI,4,13-1161.00,Market Research Analysts and Marketing Specialists,
EC,4,11-2021.00,Marketing Managers,
ECA,4,27-2012.03,Media Programming Directors,Y
ECR,4,27-2012.05,Media Technical Directors/Managers,
ECS,4,11-9111.00,Medical and Health Services Managers,Y
ECS,4,13-1121.00,"Meeting, Convention, and Event Planners",Y
ECS,4,13-2052.00,Personal Financial Advisors,Y
EC,4,13-1082.00,Project Management Specialists,Y
EC,4,11-9141.00,"Property, Real Estate, and Community Association Managers",
ECS,4,11-2032.00,Public Relations Managers,
EAS,4,27-3031.00,Public Relations Specialists,Y
EC,4,11-3061.00,Purchasing Managers,
EC,4,41-9021.00,Real Estate Brokers,
EC,4,11-9199.01,Regulatory Affairs Managers,
EC,4,41-9031.00,Sales Engineers,
EC,4,11-2022.00,Sales Managers,Y
EC,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Y
EC,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",
ECI,4,13-1161.01,Search Marketing Strategists,Y
EC,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",
EC,4,11-3013.01,Security Managers,
ESC,4,11-9151.00,Social and Community Service Managers,
EC,4,11-3071.04,Supply Chain Managers,
EAS,4,27-2012.04,Talent Directors,
ESC,4,11-3131.00,Training and Development Managers,Y
EC,4,11-3071.00,"Transportation, Storage, and Distribution Managers",Y
EC,4,11-9199.10,Wind Energy Development Managers,
ECS,5,23-1022.00,"Arbitrators, Mediators, and Conciliators",Y
EIC,5,11-9041.00,Architectural and Engineering Managers,Y
EC,5,11-1011.00,Chief Executives,Y
EIC,5,11-1011.03,Chief Sustainability Officers,
ECI,5,11-3031.03,Investment Fund Managers,Y
ECS,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates",Y
ECI,5,23-1011.00,Lawyers,Y
CEI,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Y
SE,5,21-2011.00,Clergy,Y
CES,5,25-4012.00,Curators,Y
SEC,5,11-9032.00,"Education Administrators, Kindergarten through Secondary",Y
SEC,5,11-9033.00,"Education Administrators, Postsecondary",Y
IEC,5,19-3032.00,Industrial-Organizational Psychologists,Y
SEI,5,25-9031.00,Instructional Coordinators,Y
CEI,5,23-1012.00,Judicial Law Clerks,Y
IEC,5,11-9121.00,Natural Sciences Managers,Y
IEC,5,19-3051.00,Urban and Regional Planners,Y
ICE,5,19-3011.00,Economists,Y
SCE,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Y
