Interest Code,Job Zone,Code,Occupation,Featured
RIC,1-2,51-9081.00,Dental Laboratory Technicians,Y
RIC,1-2,17-3029.01,Non-Destructive Testing Specialists,Y
SIC,1-2,31-1133.00,Psychiatric Aides,Y
RIC,1-2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Y
RCI,1-2,45-2011.00,Agricultural Inspectors,Y
RCI,1-2,45-2021.00,Animal Breeders,Y
RCI,1-2,33-9011.00,Animal Control Workers,Y
RCI,1-2,51-9011.00,Chemical Equipment Operators and Tenders,Y
RCI,1-2,51-8091.00,Chemical Plant and System Operators,Y
CRI,1-2,51-9162.00,Computer Numerically Controlled Tool Programmers,Y
RCI,1-2,47-5023.00,"Earth Drillers, Except Oil and Gas",Y
RCI,1-2,51-2022.00,Electrical and Electronic Equipment Assemblers,Y
RCI,1-2,51-2023.00,Electromechanical Equipment Assemblers,Y
RCI,1-2,31-9099.02,Endoscopy Technicians,Y
RCI,1-2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",Y
RCI,1-2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Y
RCI,1-2,53-4011.00,Locomotive Engineers,Y
RCI,1-2,31-9093.00,Medical Equipment Preparers,Y
RCI,1-2,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Y
RCI,1-2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Y
IRC,3,19-4031.00,Chemical Technicians,Y
ICE,3,13-1041.06,Coroners,Y
ICR,3,33-3021.00,Detectives and Criminal Investigators,Y
IRC,3,19-4092.00,Forensic Science Technicians,Y
IRC,3,29-2099.01,Neurodiagnostic Technologists,Y
RIC,3,17-3027.01,Automotive Engineering Technicians,Y
RIC,3,49-9092.00,Commercial Divers,Y
CIR,3,15-1299.08,Computer Systems Engineers/Architects,Y
CIS,3,29-9021.00,Health Information Technologists and Medical Registrars,Y
CI,3,29-2072.00,Medical Records Specialists,Y
RIS,3,29-2057.00,Ophthalmic Medical Technicians,Y
CIE,3,23-2011.00,Paralegals and Legal Assistants,Y
SIC,3,29-2099.08,Patient Representatives,Y
