Interest Code,Job Zone,Code,Occupation,Featured
RC,1-2,51-9191.00,Adhesive Bonding Machine Operators and Tenders,
RC,1-2,45-2091.00,Agricultural Equipment Operators,
RCI,1-2,45-2011.00,Agricultural Inspectors,
RC,1-2,53-6032.00,Aircraft Service Attendants,
RC,1-2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",
RSC,1-2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",
RCI,1-2,45-2021.00,Animal Breeders,
RSC,1-2,39-2021.00,Animal Caretakers,
RCI,1-2,33-9011.00,Animal Control Workers,
RS,1-2,39-2011.00,Animal Trainers,
RES,1-2,27-2021.00,Athletes and Sports Competitors,Y
RC,1-2,53-6031.00,Automotive and Watercraft Service Attendants,
RC,1-2,49-3021.00,Automotive Body and Related Repairers,
RC,1-2,49-3022.00,Automotive Glass Installers and Repairers,
RCS,1-2,39-6011.00,Baggage Porters and Bellhops,
RC,1-2,51-3011.00,Bakers,Y
RSC,1-2,35-3023.01,Baristas,Y
RCE,1-2,35-3011.00,Bartenders,Y
RC,1-2,49-3091.00,Bicycle Repairers,
RCI,1-2,51-8099.01,Biofuels Processing Technicians,
RC,1-2,51-8013.03,Biomass Plant Technicians,
RC,1-2,47-2011.00,Boilermakers,
RC,1-2,47-2021.00,Brickmasons and Blockmasons,
RC,1-2,53-6011.00,Bridge and Lock Tenders,
RCS,1-2,53-3051.00,"Bus Drivers, School",
RCS,1-2,53-3052.00,"Bus Drivers, Transit and Intercity",
RC,1-2,51-3021.00,Butchers and Meat Cutters,
RC,1-2,51-7011.00,Cabinetmakers and Bench Carpenters,
RC,1-2,47-2031.00,Carpenters,
RC,1-2,47-2041.00,Carpet Installers,
RC,1-2,47-2051.00,Cement Masons and Concrete Finishers,
RCI,1-2,51-9011.00,Chemical Equipment Operators and Tenders,
RCI,1-2,51-8091.00,Chemical Plant and System Operators,
RC,1-2,53-7061.00,Cleaners of Vehicles and Equipment,
RC,1-2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",
RC,1-2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",
RC,1-2,51-2021.00,"Coil Winders, Tapers, and Finishers",
RC,1-2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",
RC,1-2,51-9161.00,Computer Numerically Controlled Tool Operators,
RC,1-2,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",
RC,1-2,47-2061.00,Construction Laborers,Y
RC,1-2,47-5041.00,Continuous Mining Machine Operators,
RC,1-2,53-7011.00,Conveyor Operators and Tenders,
RCE,1-2,35-2011.00,"Cooks, Fast Food",
RC,1-2,35-2012.00,"Cooks, Institution and Cafeteria",
RCE,1-2,35-2014.00,"Cooks, Restaurant",Y
RCE,1-2,35-2015.00,"Cooks, Short Order",
RC,1-2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,
RCS,1-2,33-3012.00,Correctional Officers and Jailers,
RC,1-2,39-4012.00,Crematory Operators,
RC,1-2,33-9091.00,Crossing Guards and Flaggers,
RC,1-2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",
RC,1-2,51-9031.00,"Cutters and Trimmers, Hand",
RC,1-2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",
RC,1-2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",
RIC,1-2,51-9081.00,Dental Laboratory Technicians,
RC,1-2,47-5011.00,"Derrick Operators, Oil and Gas",
RCS,1-2,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,
RC,1-2,35-9021.00,Dishwashers,
RC,1-2,53-7031.00,Dredge Operators,
RC,1-2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",
RCE,1-2,53-3031.00,Driver/Sales Workers,
RC,1-2,47-2081.00,Drywall and Ceiling Tile Installers,
RCI,1-2,47-5023.00,"Earth Drillers, Except Oil and Gas",
RCI,1-2,51-2022.00,Electrical and Electronic Equipment Assemblers,Y
RC,1-2,49-9051.00,Electrical Power-Line Installers and Repairers,Y
RCI,1-2,51-2023.00,Electromechanical Equipment Assemblers,
RCI,1-2,31-9099.02,Endoscopy Technicians,
RC,1-2,51-2031.00,Engine and Other Machine Assemblers,
RAC,1-2,51-9194.00,Etchers and Engravers,
RC,1-2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",
RCI,1-2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",
RC,1-2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",
RC,1-2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",
RC,1-2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",
RC,1-2,45-4021.00,Fallers,
RC,1-2,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",
R,1-2,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",
RC,1-2,47-4031.00,Fence Erectors,
RC,1-2,51-2051.00,Fiberglass Laminators and Fabricators,
R,1-2,33-2011.00,Firefighters,
RC,1-2,45-3031.00,Fishing and Hunting Workers,
RC,1-2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",
RC,1-2,47-2043.00,Floor Sanders and Finishers,
RAC,1-2,27-1023.00,Floral Designers,
RC,1-2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",
RC,1-2,51-3092.00,Food Batchmakers,
RC,1-2,51-3093.00,Food Cooking Machine Operators and Tenders,
RC,1-2,35-2021.00,Food Preparation Workers,
RSC,1-2,35-3041.00,"Food Servers, Nonrestaurant",
RC,1-2,45-4011.00,Forest and Conservation Workers,
RC,1-2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",
RC,1-2,51-4071.00,Foundry Mold and Coremakers,
RCS,1-2,39-4021.00,Funeral Attendants,
RC,1-2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",
RAC,1-2,51-7021.00,Furniture Finishers,
RC,1-2,53-7071.00,Gas Compressor and Gas Pumping Station Operators,
RC,1-2,51-8092.00,Gas Plant Operators,
RCI,1-2,49-9099.01,Geothermal Technicians,
RC,1-2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",
RC,1-2,47-2121.00,Glaziers,
RC,1-2,45-2041.00,"Graders and Sorters, Agricultural Products",
RC,1-2,51-9022.00,"Grinding and Polishing Workers, Hand",
RC,1-2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",
RC,1-2,47-4041.00,Hazardous Materials Removal Workers,
RC,1-2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",
RC,1-2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Y
RC,1-2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",
RC,1-2,47-3012.00,Helpers--Carpenters,
RC,1-2,47-3013.00,Helpers--Electricians,
RC,1-2,47-5081.00,Helpers--Extraction Workers,
RC,1-2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",
RC,1-2,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",
RC,1-2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",
RC,1-2,51-9198.00,Helpers--Production Workers,
RC,1-2,47-3016.00,Helpers--Roofers,
RC,1-2,47-4051.00,Highway Maintenance Workers,
RC,1-2,53-7041.00,Hoist and Winch Operators,
RC,1-2,49-9031.00,Home Appliance Repairers,
RC,1-2,53-7051.00,Industrial Truck and Tractor Operators,
RCI,1-2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",
RC,1-2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",
RC,1-2,47-2132.00,"Insulation Workers, Mechanical",
RC,1-2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Y
RC,1-2,37-3011.00,Landscaping and Groundskeeping Workers,Y
RC,1-2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",
RC,1-2,51-6011.00,Laundry and Dry-Cleaning Workers,Y
RC,1-2,51-4192.00,"Layout Workers, Metal and Plastic",
RSC,1-2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",
RC,1-2,53-3033.00,Light Truck Drivers,
RC,1-2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining",
RC,1-2,49-9094.00,Locksmiths and Safe Repairers,
RCI,1-2,53-4011.00,Locomotive Engineers,
RC,1-2,45-4022.00,Logging Equipment Operators,
RC,1-2,53-7063.00,Machine Feeders and Offbearers,
RC,1-2,37-2012.00,Maids and Housekeeping Cleaners,Y
RC,1-2,39-5092.00,Manicurists and Pedicurists,Y
RC,1-2,49-9095.00,Manufactured Building and Mobile Home Installers,
RC,1-2,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",
RC,1-2,49-9011.00,Mechanical Door Repairers,
RIC,1-2,51-9082.00,Medical Appliance Technicians,
RCI,1-2,31-9093.00,Medical Equipment Preparers,Y
RC,1-2,51-4051.00,Metal-Refining Furnace Operators and Tenders,
RC,1-2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",
RC,1-2,49-9044.00,Millwrights,
RC,1-2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",
RC,1-2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",
RC,1-2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",
RC,1-2,39-3021.00,Motion Picture Projectionists,
RCE,1-2,53-5022.00,Motorboat Operators,
RC,1-2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",
RIC,1-2,17-3029.01,Non-Destructive Testing Specialists,
RCI,1-2,47-2073.00,Operating Engineers and Other Construction Equipment Operators,
RC,1-2,51-9083.00,Ophthalmic Laboratory Technicians,
RCS,1-2,31-1132.00,Orderlies,
RC,1-2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,
RC,1-2,51-9111.00,Packaging and Filling Machine Operators and Tenders,
RC,1-2,53-7064.00,"Packers and Packagers, Hand",
RC,1-2,47-2141.00,"Painters, Construction and Maintenance",
RAC,1-2,51-9123.00,"Painting, Coating, and Decorating Workers",
RC,1-2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",
RCA,1-2,47-2142.00,Paperhangers,
RC,1-2,53-6021.00,Parking Attendants,
RC,1-2,33-3041.00,Parking Enforcement Workers,
RCE,1-2,41-2022.00,Parts Salespersons,
RC,1-2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",
RC,1-2,37-2021.00,Pest Control Workers,Y
RC,1-2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",
RC,1-2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",
RC,1-2,51-9151.00,Photographic Process Workers and Processing Machine Operators,
RC,1-2,47-2072.00,Pile Driver Operators,
RC,1-2,47-2151.00,Pipelayers,
RC,1-2,47-2161.00,Plasterers and Stucco Masons,
RC,1-2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",
RC,1-2,51-4052.00,"Pourers and Casters, Metal",
RC,1-2,51-8013.00,Power Plant Operators,
RC,1-2,51-6021.00,"Pressers, Textile, Garment, and Related Materials",
RC,1-2,53-7072.00,"Pump Operators, Except Wellhead Pumpers",
RC,1-2,49-3043.00,Rail Car Repairers,
RC,1-2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",
RC,1-2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,
RC,1-2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",
RCE,1-2,53-4031.00,Railroad Conductors and Yardmasters,
RC,1-2,49-3092.00,Recreational Vehicle Service Technicians,
RC,1-2,53-7062.04,Recycling and Reclamation Workers,
RC,1-2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",
RC,1-2,53-7081.00,Refuse and Recyclable Material Collectors,
RC,1-2,47-2171.00,Reinforcing Iron and Rebar Workers,
RC,1-2,49-9096.00,Riggers,
RC,1-2,47-5051.00,"Rock Splitters, Quarry",
RC,1-2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",
RC,1-2,47-5043.00,"Roof Bolters, Mining",
RC,1-2,47-2181.00,Roofers,
RC,1-2,47-5012.00,"Rotary Drill Operators, Oil and Gas",
RC,1-2,47-5071.00,"Roustabouts, Oil and Gas",
RC,1-2,53-5011.00,Sailors and Marine Oilers,
RC,1-2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",
RC,1-2,33-9032.00,Security Guards,Y
RC,1-2,47-4091.00,Segmental Pavers,
RC,1-2,51-9141.00,Semiconductor Processing Technicians,Y
RC,1-2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",
RC,1-2,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,
RC,1-2,47-5013.00,"Service Unit Operators, Oil and Gas",
RC,1-2,51-6051.00,"Sewers, Hand",
RC,1-2,51-6031.00,Sewing Machine Operators,
RSC,1-2,39-5093.00,Shampooers,
