anzsco_code,occupation,task
1111,Chief Executives and Managing Directors,"Determining objectives, strategies, policies and programs for organisations"
1111,Chief Executives and Managing Directors,Providing overall direction and management to organisations
1111,Chief Executives and Managing Directors,"Authorising material, human and financial resources to implement organisational policies and programs"
1111,Chief Executives and Managing Directors,Monitoring and evaluating performance of organisations against organisational objectives and strategies
1111,Chief Executives and Managing Directors,Consulting with senior subordinate staff and reviewing recommendations and reports
1111,Chief Executives and Managing Directors,"Preparing, or arranging for the preparation of, reports, budgets and forecasts and presenting them to governing bodies"
1111,Chief Executives and Managing Directors,"Representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility"
1111,Chief Executives and Managing Directors,Selecting and approving the selection of senior staff
1111,Chief Executives and Managing Directors,Ensuring the organisation complies with company laws and other relevant legislation
1112,General Managers,"Planning policy, and setting standards and objectives for organisations"
1112,General Managers,"Providing day-to-day direction and management of organisations, and directing and endorsing policy to fulfil objectives, achieve specific goals, and maximise profit and efficiency"
1112,General Managers,Assessing changing situations and responding accordingly by issuing commands and directives to subordinate staff
1112,General Managers,"Consulting with immediate subordinates and departmental heads on matters such as methods of operation, equipment requirements, finance, sales and human resources"
1112,General Managers,Authorising the funding of major policy implementation programs
1112,General Managers,"Representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility"
1112,General Managers,"Preparing, or arranging for the preparation of, reports, budgets and forecasts, and presenting them to governing bodies"
1112,General Managers,Selecting and managing the performance of senior staff
1112,General Managers,"May undertake responsibility for some or all of accounting, sales, marketing, human resources and other specialist operations"
1113,Legislators,"Developing national, state, territory or local government policy, and formulating, amending and repealing legislation and by-laws"
1113,Legislators,Helping constituents with a range of problems particularly with regard to matters concerning government and local agencies
1113,Legislators,Investigating matters of concern to the public and to particular persons and groups
1113,Legislators,Introducing proposals for government action and representing public and electoral interests
1113,Legislators,Issuing policy directions to government departments and exercising control over local government authorities
1113,Legislators,"Attending community functions and meetings of local groups to provide service to the community, gauge public opinion and provide information on government plans"
1113,Legislators,May serve as a member on parliamentary committees and inquiries
1113,Legislators,May present petitions on behalf of concerned groups
1211,Aquaculture Farmers,"Planning and coordinating the operation of hatcheries to produce fish fry, seed oysters, crayfish, marron and prawns taking into account environmental and market factors"
1211,Aquaculture Farmers,Monitoring the environment to maintain optimal growing conditions
1211,Aquaculture Farmers,Identifying and controlling environmental toxins and diseases
1211,Aquaculture Farmers,Monitoring stock growth rates to determine when to harvest
