anzsco_unit_code,anzsco_unit_title,augmentation_exposure_score,automation_exposure_score
1111,Chief Executives and Managing Directors,0.67,0.26
1112,General Managers,0.66,0.31
1113,Legislators,0.63,0.26
1211,Aquaculture Farmers,0.66,0.41
1212,Crop Farmers,0.67,0.34
1213,Livestock Farmers,0.65,0.34
1214,Mixed Crop and Livestock Farmers,0.67,0.36
1311,"Advertising, Public Relations and Sales Manager",0.72,0.38
1321,Corporate Services Managers,0.71,0.46
1322,Finance Managers,0.75,0.46
1323,Human Resource Managers,0.66,0.36
1324,Policy and Planning Managers,0.71,0.4
1325,Research and Development Managers,0.71,0.43
1331,Construction Managers,0.7,0.33
1332,Engineering Managers,0.71,0.36
1333,"Importers, Exporters and Wholesalers",0.73,0.52
1334,Manufacturers,0.7,0.47
1335,Production Managers,0.72,0.42
1336,"Supply, Distribution and Procurement Managers",0.74,0.53
1341,Child Care Centre Managers,0.65,0.31
1342,Health and Welfare Services Managers,0.69,0.32
1343,School Principals,0.66,0.32
1344,Other Education Managers,0.74,0.43
1351,ICT Managers,0.7,0.38
1391,Commissioned Officers (Management),0.73,0.41
1392,Senior Non-Commissioned Defence Force Officers,0.47,0.23
1399,Other Specialist Managers,0.7,0.36
1411,Cafe and Restaurant Managers,0.69,0.43
1412,Caravan Park and Camping Ground Managers,0.65,0.43
1413,Hotel and Motel Managers,0.69,0.46
1414,Licensed Club Managers,0.7,0.42
1419,Other Accommodation and Hospitality Managers,0.7,0.3
1421,Retail Managers,0.73,0.48
1491,"Amusement, Fitness and Sports Centre Managers",0.73,0.44
1492,"Call, Contact Centre and Customer Service Managers",0.71,0.53
1493,Conference and Event Organisers,0.73,0.53
1494,Transport Services Managers,0.73,0.46
1499,"Other Hospitality, Retail and Service Managers",0.7,0.38
2111,"Actors, Dancers and Other Entertainers",0.58,0.24
2112,Music Professionals,0.62,0.23
2113,Photographers,0.61,0.24
2114,Visual Arts and Crafts Professionals,0.57,0.16
2121,"Artistic Directors, Media Producers and Presenters",0.68,0.41
2122,"Authors, and Book and Script Editors",0.69,0.54
2123,"Film, Television, Radio and Stage Directors",0.69,0.36
2124,Journalists and Other Writers,0.7,0.61
2211,Accountants,0.73,0.54
2212,"Auditors, Company Secretaries and Corporate Treasurers",0.74,0.45
2221,Financial Brokers,0.75,0.47
2222,Financial Dealers,0.77,0.69
2223,Financial Investment Advisers and Managers,0.74,0.48
2231,Human Resource Professionals,0.68,0.51
2232,ICT Trainers,0.75,0.58
2233,Training and Development Professionals,0.76,0.57
2241,"Actuaries, Mathematicians and Statisticians",0.77,0.58
2242,"Archivists, Curators and Records Managers",0.7,0.5
2243,Economists,0.78,0.59
2244,Intelligence and Policy Analysts,0.79,0.56
2245,Land Economists and Valuers,0.71,0.43
2246,Librarians,0.7,0.52
2247,Management and Organisation Analysts,0.73,0.53
2249,Other Information and Organisation Professionals,0.7,0.4
2251,Advertising and Marketing Professionals,0.79,0.54
2252,ICT Sales Professionals,0.72,0.58
2253,Public Relations Professionals,0.7,0.46
2254,Technical Sales Representatives,0.71,0.64
2311,Air Transport Professionals,0.6,0.31
2312,Marine Transport Professionals,0.63,0.26
2321,Architects and Landscape Architects,0.72,0.46
2322,Surveyors and Spatial Scientists,0.76,0.4
2323,"Fashion, Industrial and Jewellery Designers",0.71,0.39
2324,"Graphic and Web Designers, and Illustrators",0.64,0.49
2325,Interior Designers,0.73,0.43
2326,Urban and Regional Planners,0.71,0.45
2331,Chemical and Materials Engineers,0.72,0.31
2332,Civil Engineering Professionals,0.74,0.33
2333,Electrical Engineers,0.71,0.33
2334,Electronics Engineers,0.76,0.34
2335,"Industrial, Mechanical and Production Engineers",0.73,0.37
2336,Mining Engineers,0.72,0.33
2339,Other Engineering Professionals,0.71,0.33
2341,Agricultural and Forestry Scientists,0.75,0.36
2342,"Chemists, and Food and Wine Scientists",0.74,0.33
2343,Environmental Scientists,0.72,0.32
2344,"Geologists, Geophysicists and Hydrogeologists",0.72,0.33
2345,Life Scientists,0.74,0.3
2346,Medical Laboratory Scientists,0.71,0.34
2347,Veterinarians,0.6,0.22
2349,Other Natural and Physical Science Professionals,0.75,0.33
2411,Early Childhood (Pre-primary School) Teachers,0.64,0.27
2412,Primary School Teachers,0.63,0.32
2413,Middle School Teachers,0.6,0.34
2414,Secondary School Teachers,0.6,0.35
2415,Special Education Teachers,0.71,0.36
2421,University Lecturers and Tutors,0.68,0.43
2422,Vocational Education Teachers,0.71,0.48
2491,Education Advisers and Reviewers,0.71,0.39
2492,Private Tutors and Teachers,0.73,0.51
2493,Teachers of English to Speakers of Other Languages,0.74,0.56
2511,Nutrition Professionals,0.76,0.4
2512,Medical Imaging Professionals,0.61,0.3
2513,Occupational and Environmental Health Professionals,0.72,0.36
2514,Optometrists and Orthoptists,0.68,0.23
2515,Pharmacists,0.68,0.32
2519,Other Health Diagnostic and Promotion Professionals,0.65,0.3
2521,Chiropractors and Osteopaths,0.66,0.33
2522,Complementary Health Therapists,0.64,0.28
2523,Dental Practitioners,0.66,0.19
2524,Occupational Therapists,0.66,0.3
2525,Physiotherapists,0.67,0.3
2526,Podiatrists,0.6,0.24
2527,Audiologists and Speech Pathologists \ Therapists,0.69,0.3
2531,General Practitioners and Resident Medical Officers,0.7,0.34
2532,Anaesthetists,0.63,0.2
2533,Specialist Physicians,0.7,0.3
2534,Psychiatrists,0.61,0.25
2535,Surgeons,0.64,0.28
2539,Other Medical Practitioners,0.7,0.2
2541,Midwives,0.67,0.3
2542,Nurse Educators and Researchers,0.7,0.36
2543,Nurse Managers,0.68,0.28
2544,Registered Nurses,0.67,0.3
2611,ICT Business and Systems Analysts,0.77,0.58
2612,Multimedia Specialists and Web Developers,0.76,0.44
2613,Software and Applications Programmers,0.77,0.63
2621,"Database and Systems Administrators, and ICT Security Specialists",0.71,0.48
2631,Computer Network Professionals,0.71,0.45
2632,ICT Support and Test Engineers,0.75,0.57
2633,Telecommunications Engineering Professionals,0.72,0.41
2711,Barristers,0.65,0.43
2712,Judicial and Other Legal Professionals,0.58,0.34
2713,Solicitors,0.61,0.34
2721,Counsellors,0.67,0.37
2722,Ministers of Religion,0.54,0.31
2723,Psychologists and Psychotherapists,0.69,0.43
2724,Social Professionals,0.71,0.47
2725,Social Workers,0.7,0.33
2726,"Welfare, Recreation and Community Arts Workers",0.67,0.39
3111,Agricultural Technicians,0.72,0.41
3112,Medical Technicians,0.69,0.29
3113,Primary Products Inspectors,0.65,0.34
3114,Science Technicians,0.72,0.4
3121,"Architectural, Building and Surveying Technicians",0.74,0.51
3122,Civil Engineering Draftspersons and Technicians,0.69,0.4
3123,"Electrical Engineering Draftspersons, Technicians",0.72,0.48
3124,"Electronic Engineering Draftspersons, Technicians",0.74,0.47
3125,"Mechanical Engineering Draftspersons, Technicians",0.7,0.42
3126,Safety Inspectors,0.69,0.38
3129,Other Building and Engineering Technicians,0.67,0.33
3131,ICT Support Technicians,0.69,0.53
3132,Telecommunications Technical Specialists,0.69,0.46
3211,Automotive Electricians,0.58,0.24
3212,Motor Mechanics,0.59,0.25
3221,"Metal Casting, Forging and Finishing Trades",0.52,0.18
3222,Sheetmetal Trades Workers,0.58,0.25
3223,Structural Steel and Welding Trades Workers,0.58,0.2
3231,Aircraft Maintenance Engineers,0.64,0.26
3232,Metal Fitters and Machinists,0.62,0.22
3233,Precision Metal Trades Workers,0.64,0.28
3234,Toolmakers and Engineering Patternmakers,0.63,0.22
3241,Panelbeaters,0.41,0.11
3242,Vehicle Body Builders and Trimmers,0.49,0.23
3243,Vehicle Painters,0.52,0.13
3311,Bricklayers and Stonemasons,0.49,0.17
3312,Carpenters and Joiners,0.6,0.18
3321,Floor Finishers,0.5,0.23
3322,Painting Trades Workers,0.46,0.13
3331,Glaziers,0.56,0.19
3332,Plasterers,0.44,0.12
3333,Roof Tilers,0.44,0.13
3334,Wall and Floor Tilers,0.63,0.12
3341,Plumbers,0.59,0.15
3411,Electricians,0.57,0.16
3421,Airconditioning and Refrigeration Mechanics,0.56,0.26
3422,Electrical Distribution Trades Workers,0.57,0.15
3423,Electronics Trades Workers,0.67,0.41
3424,Telecommunications Trades Workers,0.58,0.24
3511,Bakers and Pastrycooks,0.54,0.23
3512,Butchers and Smallgoods Makers,0.58,0.3
3513,Chefs,0.65,0.31
3514,Cooks,0.61,0.22
3611,Animal Attendants and Trainers,0.53,0.2
3612,Shearers,0.38,0.16
3613,Veterinary Nurses,0.57,0.31
3621,Florists,0.6,0.28
3622,Gardeners,0.54,0.19
3623,Greenkeepers,0.51,0.2
3624,Nurserypersons,0.61,0.33
3911,Hairdressers,0.47,0.24
3921,Print Finishers and Screen Printers,0.59,0.25
3922,Graphic Pre-press Trades Workers,0.73,0.31
3923,Printers,0.53,0.28
3931,Canvas and Leather Goods Makers,0.63,0.23
3932,Clothing Trades Workers,0.6,0.27
3933,Upholsterers,0.45,0.15
3941,Cabinetmakers,0.63,0.23
3942,Wood Machinists and Other Wood Trades Workers,0.58,0.26
3991,Boat Builders and Shipwrights,0.6,0.22
3992,"Chemical, Gas, Petroleum and Power Plant Operators",0.69,0.4
3993,"Gallery, Library and Museum Technicians",0.68,0.47
3994,Jewellers,0.58,0.19
3995,Performing Arts Technicians,0.63,0.21
3996,Signwriters,0.56,0.36
3999,Other Miscellaneous Technicians and Trades Workers,0.61,0.3
4111,Ambulance Officers and Paramedics,0.55,0.25
4112,"Dental Hygienists, Technicians and Therapists",0.59,0.15
4113,Diversional Therapists,0.69,0.38
4114,Enrolled and Mothercraft Nurses,0.63,0.26
4115,Indigenous Health Workers,0.7,0.37
4116,Massage Therapists,0.43,0.13
4117,Welfare Support Workers,0.69,0.42
4211,Child Carers,0.64,0.2
4221,Education Aides,0.65,0.31
4231,Aged and Disabled Carers,0.47,0.21
4232,Dental Assistants,0.6,0.33
4233,Nursing Support and Personal Care Workers,0.6,0.26
4234,Special Care Workers,0.57,0.23
4311,Bar Attendants and Baristas,0.49,0.24
4312,Cafe Workers,0.46,0.23
4313,Gaming Workers,0.55,0.33
4314,Hotel Service Managers,0.69,0.43
4315,Waiters,0.44,0.28
4319,Other Hospitality Workers,0.43,0.29
4411,Defence Force Members - Other Ranks,0.43,0.17
4412,Fire and Emergency Workers,0.51,0.18
4413,Police,0.66,0.27
4421,Prison Officers,0.45,0.24
4422,Security Officers and Guards,0.61,0.33
4511,Beauty Therapists,0.59,0.33
4512,Driving Instructors,0.65,0.33
4513,Funeral Workers,0.47,0.34
4514,"Gallery, Museum and Tour Guides",0.62,0.48
4515,Personal Care Consultants,0.67,0.29
4516,Tourism and Travel Advisers,0.75,0.73
4517,Travel Attendants,0.53,0.26
4518,Other Personal Service Workers,0.4,0.25
4521,Fitness Instructors,0.62,0.3
4522,Outdoor Adventure Guides,0.54,0.33
4523,"Sports Coaches, Instructors and Officials",0.66,0.34
4524,Sportspersons,0.53,0.19
5111,"Contract, Program and Project Administrators",0.73,0.53
5121,Office Managers,0.7,0.46
5122,Practice Managers,0.7,0.42
5211,Personal Assistants,0.69,0.63
5212,Secretaries,0.69,0.67
5311,General Clerks,0.68,0.71
5321,Keyboard Operators,0.76,0.81
5411,Call or Contact Centre Workers,0.73,0.75
5412,Information Officers,0.7,0.66
5421,Receptionists,0.67,0.66
5511,Accounting Clerks,0.74,0.71
