osca_code,osca_occupation,anzsco_code,match_flag,anzsco_occupation
111131,Corporate Services Manager,132111,,Corporate Services Manager
111231,Finance Manager,132211,,Finance Manager
111331,Human Resources Manager,132311,p,Human Resource Manager
111431,Policy and Planning Manager,132411,,Policy and Planning Manager
111531,Research and Development Manager,132511,,Research and Development Manager
111631,Quality Assurance Manager,139916,,Quality Assurance Manager
111632,Regulatory Affairs Manager,139917,,Regulatory Affairs Manager
111633,Work Health and Safety Manager,132311,p,Human Resource Manager
112131,Advertising Manager,131113,,Advertising Manager
112132,Business Development Manager,131112,p,Sales and Marketing Manager
112133,Sales and Marketing Manager,131112,p,Sales and Marketing Manager
112231,Communications Manager (Public Relations),131114,,Public Relations Manager
113131,Chief Information Officer,135111,p,Chief Information Officer
113132,Chief Information Security Officer,135111,p,Chief Information Officer
113231,ICT Operations Manager,135199,p,ICT Managers nec
113232,ICT Project Manager,135112,,ICT Project Manager
113233,ICT Service Delivery Manager,135199,p,ICT Managers nec
113299,ICT Managers nec,135199,p,ICT Managers nec
121131,Chief Executive or Managing Director,111111,,Chief Executive or Managing Director
121231,Corporate General Manager,111211,,Corporate General Manager
121232,Defence Force Senior Officer,111212,p,Defence Force Senior Officer
121331,Local Government Legislator,111311,,Local Government Legislator
121332,Member of Parliament,111312,,Member of Parliament
121399,Legislators nec,111399,,Legislators nec
131131,Construction Project Manager,133111,,Construction Project Manager
131231,Engineering Manager,133211,,Engineering Manager
131331,Project Builder,133112,,Project Builder
131431,Property Developer,224511,p,Land Economist
131931,Surveying Manager,139999,p,Specialist Managers nec
131999,Construction and Engineering Managers nec,139999,p,Specialist Managers nec
132131,Manufacturer,133411,,Manufacturer
132231,Forest Manager,133511,,Production Manager (Forestry)
132232,Production Manager (Manufacturing),133512,,Production Manager (Manufacturing)
132232,Production Manager (Manufacturing),149999,p,"Hospitality, Retail and Service Managers nec"
132233,Production Manager (Mining),133513,,Production Manager (Mining)
133131,Importer or Exporter,133311,,Importer or Exporter
133132,Wholesaler,133312,,Wholesaler
133231,Procurement Manager,133612,,Procurement Manager
133331,Supply and Distribution Manager,133611,,Supply and Distribution Manager
141131,Assistant School Principal,134311,p,School Principal
141132,School Principal,134311,p,School Principal
141231,Children's Education and Care Service Director,134111,,Child Care Centre Manager
141231,Children's Education and Care Service Director,241111,p,Early Childhood (Pre-primary School) Teacher
141331,Aged Care Manager,134212,p,Nursing Clinical Director
141331,Aged Care Manager,134299,p,Health and Welfare Services Managers nec
141331,Aged Care Manager,254311,p,Nurse Manager
141332,Director of Nursing / Midwifery,134212,p,Nursing Clinical Director
141333,Medical Administrator,134211,,Medical Administrator / Medical Superintendent
141334,Paramedic Manager,134299,p,Health and Welfare Services Managers nec
141335,Welfare Centre Manager,134214,,Welfare Centre Manager
141399,Health and Welfare Service Managers nec,134213,,Primary Health Organisation Manager
141399,Health and Welfare Service Managers nec,134299,p,Health and Welfare Services Managers nec
141431,Faculty Manager,134411,,Faculty Head
141432,Regional Education Manager,134412,,Regional Education Manager
141499,Education Managers nec,134499,,Education Managers nec
149131,Arts Administrator or Manager,139911,,Arts Administrator or Manager
149132,Library Services Manager,224611,p,Librarian
149133,Sports Administrator,139915,,Sports Administrator
149199,"Arts, Culture and Sports Administrators nec",139999,p,Specialist Managers nec
149231,Commissioned Defence Force Officer,111212,p,Defence Force Senior Officer
149231,Commissioned Defence Force Officer,139111,,Commissioned Defence Force Officer
149232,Commissioned Fire Officer,139112,,Commissioned Fire Officer
149233,Commissioned Police Officer,139113,,Commissioned Police Officer
149331,Environmental Manager,139912,,Environmental Manager
149332,Exploration Manager,139999,p,Specialist Managers nec
149333,Laboratory Manager,139913,,Laboratory Manager
149399,Scientific and Environmental Managers nec,139999,p,Specialist Managers nec
149431,Senior Non-commissioned Defence Force Member,139211,,Senior Non-commissioned Defence Force Member
149931,Airport Manager,139999,p,Specialist Managers nec
149932,Correctional Facility Manager,139999,p,Specialist Managers nec
149933,Emergency Management Officer,139999,p,Specialist Managers nec
149999,Specialist Managers nec,139999,p,Specialist Managers nec
151131,Cotton Grower,121511,,Cotton Grower
151132,"Grain, Oilseed, Pulse or Pasture Grower",121512,,"Grain, Oilseed, Pulse or Pasture Grower / Field Crop Grower"
151133,Sugar Cane Grower,121513,,Sugar Cane Grower
151199,Broadacre Crop Growers nec,121599,,Broadacre Crop Growers nec
151231,Flower Grower,121611,,Flower Grower
151232,Fruit Grower,121612,,Fruit Grower
151233,Nut Grower,121613,,Nut Grower
151234,Production Nursery Grower,121614,,Production Nursery Grower
151235,Turf Grower,121615,,Turf Grower
151236,Vegetable Grower,121616,,Vegetable Grower (Aus) / Market Gardener (NZ)
151237,Wine Grape Grower,121617,,Wine Grape Grower
151299,Horticultural Crop Growers nec,121699,,Horticultural Crop Growers nec
151331,Aquaculture Farmer,121111,,Aquaculture Farmer
151332,Broadacre Crop and Livestock Farmer,121711,,Broadacre Crop and Livestock Farmer
151399,Mixed Production and Aquaculture Farmers nec,121799,,Mixed Production Farmers nec
152131,Beef Cattle Farmer,121312,,Beef Cattle Farmer
152231,Dairy Cattle Farmer,121313,,Dairy Cattle Farmer
152331,Mixed Cattle and Sheep Farmer,121323,,Mixed Cattle and Sheep Farmer
152431,Sheep Farmer,121322,,Sheep Farmer
152931,Apiarist,121311,,Apiarist
152932,Goat Farmer,121315,,Goat Farmer
152933,Horse Breeder,121316,,Horse Breeder
152934,Pig Farmer,121318,,Pig Farmer
152935,Poultry Farmer,121321,,Poultry Farmer
152999,Livestock Farmers nec,121314,,Deer Farmer
152999,Livestock Farmers nec,121399,,Livestock Farmers nec
161131,Accommodation Service Manager,431411,p,Hotel Service Manager
161231,Cafe or Restaurant Manager,141111,p,Cafe or Restaurant Manager
161231,Cafe or Restaurant Manager,142111,p,Retail Manager (General)
161232,Catering Manager,141111,p,Cafe or Restaurant Manager
161331,Amusement Centre Manager,149111,,Amusement Centre Manager
161332,Betting Agency Manager,142113,,Betting Agency Manager
161333,Cinema or Theatre Manager,149912,,Cinema or Theatre Manager
161334,Fitness Centre Manager,149112,,Fitness Centre Manager
161335,Sports Centre Manager,149113,,Sports Centre Manager
161399,"Entertainment, Fitness and Sports Venue Managers nec",149999,p,"Hospitality, Retail and Service Managers nec"
161431,Hotel or Motel Manager,141311,,Hotel or Motel Manager
161531,Licensed Club Manager,141411,,Licensed Club Manager
161531,Licensed Club Manager,431311,p,Gaming Worker
161631,Senior Chef,351311,p,Chef
161931,Caravan Park and Camping Ground Manager,141211,,Caravan Park and Camping Ground Manager
161932,Hosted Accommodation Operator,141911,,Bed and Breakfast Operator
161933,Travel Agency Manager,142116,,Travel Agency Manager
161999,"Hospitality, Tourism and Venue Managers nec",141999,,Accommodation and Hospitality Managers nec
161999,"Hospitality, Tourism and Venue Managers nec",149999,p,"Hospitality, Retail and Service Managers nec"
162131,Retail Manager (General),142111,p,Retail Manager (General)
162132,Antique Dealer,142112,,Antique Dealer
162133,Post Office Manager,142115,,Post Office Manager
171131,Financial Institution Manager,149914,,Financial Institution Branch Manager
171231,Office Manager,512111,,Office Manager
171232,Payroll Manager,551311,p,Payroll Clerk
171331,Health Practice Manager,512211,,Health Practice Manager
171332,Legal Practice Manager,512299,p,Practice Managers nec
171333,Veterinary Practice Manager,512299,p,Practice Managers nec
171399,Practice Managers nec,512299,p,Practice Managers nec
171431,Real Estate Agency Principal,612113,,Real Estate Agency Principal / Real Estate Agency Licensee
172131,Call or Contact Centre Manager,149211,,Call or Contact Centre Manager
172132,Customer Service Manager,149212,,Customer Service Manager
172231,Event Manager,149311,,Conference and Event Organiser
172331,Facilities Manager,149913,,Facilities Manager
172431,Hair or Beauty Salon Manager,142114,,Hair or Beauty Salon Manager
172499,"Hair, Body and Beauty Service Managers nec",149999,p,"Hospitality, Retail and Service Managers nec"
172531,Fleet Manager,149411,,Fleet Manager
172532,Railway Station Manager,149412,,Railway Station Manager
172533,Transport Company Manager,149413,,Transport Company Manager
172931,Boarding Kennel or Cattery Operator,149911,,Boarding Kennel or Cattery Operator
172932,Equipment Hire Manager,149915,,Equipment Hire Manager
172933,Retirement Village Manager,141912,,Retirement Village Manager
172934,Security Manager (Non-ICT),139999,p,Specialist Managers nec
172999,Service Managers nec,149999,p,"Hospitality, Retail and Service Managers nec"
211131,Accountant (General),221111,p,Accountant (General)
211132,Corporate Treasurer,221212,,Corporate Treasurer
211133,Forensic Accountant,221111,p,Accountant (General)
211134,Management Accountant,221112,,Management Accountant
211135,Taxation Accountant,221113,,Taxation Accountant
211231,External Auditor,221213,,External Auditor
211232,Internal Auditor,221214,,Internal Auditor
212131,Financial Adviser,222311,,Financial Investment Adviser
212231,Financial Market Dealer,222211,,Financial Market Dealer
212231,Financial Market Dealer,222212,,Futures Trader
212232,Stockbroker,222213,p,Stockbroking Dealer
212331,Capital Markets Specialist,222213,p,Stockbroking Dealer
212332,Investment Analyst,222299,p,Financial Dealers nec
212333,Investment Manager,222312,,Financial Investment Manager
212931,Credit Risk Manager,222299,p,Financial Dealers nec
212999,Financial Services and Investment Specialists nec,222299,p,Financial Dealers nec
221131,Advertising Specialist,212112,p,Media Producer (excluding Video)
221131,Advertising Specialist,225111,,Advertising Specialist
221231,Communications Officer (Public Relations),225311,,Public Relations Professional
221331,Electorate Officer,224911,,Electorate Officer
221332,Liaison Officer,224912,,Liaison Officer
221431,ICT Business Development Manager,225212,,ICT Business Development Manager
221531,Content Creator (Marketing),225114,,Content Creator (Marketing)
221532,Digital Marketing Analyst,225115,,Digital Marketing Analyst
221533,Market Research Analyst,225112,,Market Research Analyst
221534,Marketing Specialist,225113,,Marketing Specialist
221631,ICT Account Manager,225211,,ICT Account Manager
221632,ICT Sales Representative,225213,,ICT Sales Representative
221633,Sales Representative (Industrial Products),225411,,Sales Representative (Industrial Products)
221634,Sales Representative (Medical and Pharmaceutical Products),225412,,Sales Representative (Medical and Pharmaceutical Products)
221699,Technical Sales Representatives nec,225499,,Technical Sales Representatives nec
222131,Human Resources Adviser,223111,,Human Resource Adviser
222132,Workplace Relations Adviser,223113,p,Workplace Relations Adviser
222231,Recruitment Consultant,223112,p,Recruitment Consultant
222331,Rehabilitation Consultant,251312,p,Occupational Health and Safety Adviser
222331,Rehabilitation Consultant,272114,p,Rehabilitation Counsellor
222332,Work Health and Safety Adviser,251312,p,Occupational Health and Safety Adviser
222431,Training and Development Professional,223311,,Training and Development Professional
222431,Training and Development Professional,242211,p,Vocational Education Teacher / Polytechnic Teacher
223131,Actuary,224111,,Actuary
223132,Mathematician,224112,,Mathematician
223133,Statistician,224116,,Statistician
223231,Data Analyst,224114,,Data Analyst
223232,Data Architect,261313,p,Software Engineer
223233,Data Engineer,261313,p,Software Engineer
223234,Data Scientist,224115,,Data Scientist
223331,Intelligence Analyst,224411,,Intelligence Officer
223332,Policy Analyst,224412,,Policy Analyst
223431,Enterprise Architect,261111,p,ICT Business Analyst
223432,Management Consultant,224713,,Management Consultant
223433,Organisation and Methods Analyst,224712,,Organisation and Methods Analyst
223434,Supply Chain Analyst,224714,,Supply Chain Analyst
223531,Asset Manager (Property),224511,p,Land Economist
223532,Valuer,224512,,Valuer
223931,Company Secretary,221211,,Company Secretary
223932,Cost Controller,224999,p,Information and Organisation Professionals nec
223933,Health Information Manager,224213,,Health Information Manager
223934,Patents Examiner,224914,,Patents Examiner
223935,Records or Information Manager,224214,,Records Manager
223999,Information and Organisation Professionals nec,224999,p,Information and Organisation Professionals nec
231131,Actor,211111,,Actor
231132,Circus Performer or Trainer,211113,p,Entertainer or Variety Artist
