month,state_name,region_code,region_name,region_level,anzsco2_code,anzsco2_name,vacancy_3m_moving_average
2019-01,NSW,1GSYD,Greater Sydney,GCCSA,26,ICT Professionals,4148
2019-01,NSW,101,Capital Region,SA4,26,ICT Professionals,5
2019-01,NSW,103,Central West,SA4,26,ICT Professionals,5
2019-01,NSW,104,Coffs Harbour - Grafton,SA4,26,ICT Professionals,4
2019-01,NSW,105,Far West and Orana,SA4,26,ICT Professionals,2
2019-01,NSW,106,Hunter Valley exc Newcastle,SA4,26,ICT Professionals,32
2019-01,NSW,107,Illawarra,SA4,26,ICT Professionals,15
2019-01,NSW,108,Mid North Coast,SA4,26,ICT Professionals,17
2019-01,NSW,109,Murray,SA4,26,ICT Professionals,7
2019-01,NSW,110,New England and North West,SA4,26,ICT Professionals,3
2019-01,NSW,111,Newcastle and Lake Macquarie,SA4,26,ICT Professionals,45
2019-01,NSW,112,Richmond - Tweed,SA4,26,ICT Professionals,5
2019-01,NSW,113,Riverina,SA4,26,ICT Professionals,5
2019-01,NSW,114,Southern Highlands and Shoalhaven,SA4,26,ICT Professionals,6
2019-01,VIC,2GMEL,Greater Melbourne,GCCSA,26,ICT Professionals,2886
2019-01,VIC,201,Ballarat,SA4,26,ICT Professionals,5
2019-01,VIC,202,Bendigo,SA4,26,ICT Professionals,5
2019-01,VIC,203,Geelong,SA4,26,ICT Professionals,29
2019-01,VIC,204,Hume,SA4,26,ICT Professionals,2
2019-01,VIC,205,Latrobe - Gippsland,SA4,26,ICT Professionals,8
2019-01,VIC,215,North West,SA4,26,ICT Professionals,2
2019-01,VIC,216,Shepparton,SA4,26,ICT Professionals,2
2019-01,VIC,217,Warrnambool and South West,SA4,26,ICT Professionals,11
2019-01,QLD,3GBRI,Greater Brisbane,GCCSA,26,ICT Professionals,1294
2019-01,QLD,306,Cairns,SA4,26,ICT Professionals,8
2019-01,QLD,308,Central Queensland,SA4,26,ICT Professionals,5
2019-01,QLD,307,Darling Downs - Maranoa,SA4,26,ICT Professionals,5
2019-01,QLD,309,Gold Coast,SA4,26,ICT Professionals,67
2019-01,QLD,312,Mackay - Isaac - Whitsunday,SA4,26,ICT Professionals,11
2019-01,QLD,315,Queensland - Outback,SA4,26,ICT Professionals,3
2019-01,QLD,316,Sunshine Coast,SA4,26,ICT Professionals,22
2019-01,QLD,317,Toowoomba,SA4,26,ICT Professionals,5
2019-01,QLD,318,Townsville,SA4,26,ICT Professionals,8
2019-01,QLD,319,Wide Bay,SA4,26,ICT Professionals,4
2019-01,SA,4GADE,Greater Adelaide,GCCSA,26,ICT Professionals,354
2019-01,SA,405,Barossa - Yorke - Mid North,SA4,26,ICT Professionals,0
2019-01,SA,406,South Australia - Outback,SA4,26,ICT Professionals,1
2019-01,SA,407,South Australia - South East,SA4,26,ICT Professionals,1
2019-01,WA,5GPER,Greater Perth,GCCSA,26,ICT Professionals,616
2019-01,WA,501,Bunbury,SA4,26,ICT Professionals,2
2019-01,WA,510,Western Australia - Outback (North),SA4,26,ICT Professionals,6
2019-01,WA,511,Western Australia - Outback (South),SA4,26,ICT Professionals,3
2019-01,WA,509,Western Australia - Wheat Belt,SA4,26,ICT Professionals,0
2019-01,TAS,6GHOB,Greater Hobart,GCCSA,26,ICT Professionals,34
2019-01,TAS,602,Launceston and North East,SA4,26,ICT Professionals,10
2019-01,TAS,603,South East,SA4,26,ICT Professionals,0
2019-01,TAS,604,West and North West,SA4,26,ICT Professionals,0
2019-01,NT,7GDAR,Greater Darwin,GCCSA,26,ICT Professionals,35
2019-01,NT,702,Northern Territory - Outback,SA4,26,ICT Professionals,3
2019-01,ACT,8ACTE,Australian Capital Territory,GCCSA,26,ICT Professionals,825
2019-02,NSW,1GSYD,Greater Sydney,GCCSA,26,ICT Professionals,4124
2019-02,NSW,101,Capital Region,SA4,26,ICT Professionals,7
2019-02,NSW,103,Central West,SA4,26,ICT Professionals,4
2019-02,NSW,104,Coffs Harbour - Grafton,SA4,26,ICT Professionals,3
2019-02,NSW,105,Far West and Orana,SA4,26,ICT Professionals,3
2019-02,NSW,106,Hunter Valley exc Newcastle,SA4,26,ICT Professionals,34
2019-02,NSW,107,Illawarra,SA4,26,ICT Professionals,18
2019-02,NSW,108,Mid North Coast,SA4,26,ICT Professionals,15
2019-02,NSW,109,Murray,SA4,26,ICT Professionals,6
2019-02,NSW,110,New England and North West,SA4,26,ICT Professionals,4
2019-02,NSW,111,Newcastle and Lake Macquarie,SA4,26,ICT Professionals,45
2019-02,NSW,112,Richmond - Tweed,SA4,26,ICT Professionals,6
2019-02,NSW,113,Riverina,SA4,26,ICT Professionals,4
2019-02,NSW,114,Southern Highlands and Shoalhaven,SA4,26,ICT Professionals,7
2019-02,VIC,2GMEL,Greater Melbourne,GCCSA,26,ICT Professionals,2916
2019-02,VIC,201,Ballarat,SA4,26,ICT Professionals,6
2019-02,VIC,202,Bendigo,SA4,26,ICT Professionals,6
2019-02,VIC,203,Geelong,SA4,26,ICT Professionals,28
2019-02,VIC,204,Hume,SA4,26,ICT Professionals,2
2019-02,VIC,205,Latrobe - Gippsland,SA4,26,ICT Professionals,7
2019-02,VIC,215,North West,SA4,26,ICT Professionals,3
