month,state_name,sa4_code,sa4_name,anzsco4_code,anzsco4_name,anzsco2_code,anzsco2_name,employment_value
2015-09,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,126
2015-10,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,127
2015-11,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,128
2015-12,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,129
2016-01,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,130
2016-02,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,130
2016-03,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,131
2016-04,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,132
2016-05,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,133
2016-06,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,134
2016-07,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,135
2016-08,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,136
2016-09,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,137
2016-10,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,138
2016-11,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,139
2016-12,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,140
2017-01,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,141
2017-02,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,142
2017-03,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,142
2017-04,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,143
2017-05,NSW,101,Capital Region,2611,ICT Business and Systems Analysts,26,ICT Professionals,144
