anzsco_code,label_4digit,soc,soc_label,isco_codes,pct_unit_support,broad_group_match
1111,Chief Executive or Managing Director,11-1011.00,Chief Executives,1120,100.0,True
1111,Chief Executive or Managing Director,11-1021.00,General and Operations Managers,1120,100.0,True
1111,Chief Executive or Managing Director,13-1075.00,Labor Relations Specialists,1114,100.0,False
1111,Chief Executive or Managing Director,33-1012.00,First-Line Supervisors of Police and Detectives,1112,100.0,False
1112,Corporate General Manager,11-1011.00,Chief Executives,1120,50.0,True
1112,Corporate General Manager,11-1021.00,General and Operations Managers,1120,50.0,True
1112,Corporate General Manager,13-1075.00,Labor Relations Specialists,1114,50.0,False
1112,Corporate General Manager,33-1011.00,First-Line Supervisors of Correctional Officers,0110,50.0,True
1112,Corporate General Manager,33-1012.00,First-Line Supervisors of Police and Detectives,0110; 1112,50.0,True
1112,Corporate General Manager,33-3012.00,Correctional Officers and Jailers,0110,50.0,True
1112,Corporate General Manager,33-3021.00,Detectives and Criminal Investigators,0110,50.0,True
1112,Corporate General Manager,33-3021.06,Intelligence Analysts,0110,50.0,True
1112,Corporate General Manager,33-3051.00,Police and Sheriff's Patrol Officers,0110,50.0,True
1112,Corporate General Manager,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",0110,50.0,False
1113,Local Government Legislator,11-1031.00,Legislators,1111,100.0,True
1211,Aquaculture Farmer,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1312; 6221,100.0,True
1211,Aquaculture Farmer,19-4012.00,Agricultural Technicians,6221,100.0,False
1211,Aquaculture Farmer,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1312,100.0,False
1211,Aquaculture Farmer,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6221,100.0,True
1211,Aquaculture Farmer,49-3041.00,Farm Equipment Mechanics and Service Technicians,6221,100.0,False
1212,Cotton Grower,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1311; 6112; 6114,90.0,True
1212,Cotton Grower,17-2021.00,Agricultural Engineers,6111; 6114,80.0,False
1212,Cotton Grower,19-1031.02,Range Managers,1311,90.0,False
1212,Cotton Grower,19-4012.00,Agricultural Technicians,6111,80.0,False
1212,Cotton Grower,19-4012.01,Precision Agriculture Technicians,6111,80.0,False
1212,Cotton Grower,19-4099.01,Quality Control Analysts,6112,70.0,False
1212,Cotton Grower,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",6113,60.0,False
1212,Cotton Grower,37-2021.00,Pest Control Workers,6112,70.0,False
1212,Cotton Grower,37-3011.00,Landscaping and Groundskeeping Workers,6113,60.0,False
1212,Cotton Grower,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",6112,70.0,False
1212,Cotton Grower,37-3013.00,Tree Trimmers and Pruners,6112; 6113,70.0,False
1212,Cotton Grower,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",6111; 6112; 6114,80.0,True
1212,Cotton Grower,45-2091.00,Agricultural Equipment Operators,6111,80.0,True
1212,Cotton Grower,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",6111; 6112; 6113,80.0,True
1212,Cotton Grower,45-4021.00,Fallers,6112,70.0,True
1213,Apiarist,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1311,100.0,True
1213,Apiarist,19-1031.02,Range Managers,1311,100.0,False
1213,Apiarist,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",6121,90.9,True
1213,Apiarist,45-2021.00,Animal Breeders,6121,90.9,True
1213,Apiarist,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6121,90.9,True
1214,Mixed Crop and Livestock Farmer,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1311; 6114,100.0,True
1214,Mixed Crop and Livestock Farmer,17-2021.00,Agricultural Engineers,6114,100.0,False
1214,Mixed Crop and Livestock Farmer,19-1031.02,Range Managers,1311,100.0,False
1214,Mixed Crop and Livestock Farmer,25-9021.00,Farm and Home Management Educators,6130,100.0,False
1214,Mixed Crop and Livestock Farmer,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",6114,100.0,True
1311,Sales and Marketing Manager,11-2032.00,Public Relations Managers,1222,66.7,True
1321,Corporate Services Manager,11-3013.00,Facilities Managers,1219,100.0,True
1321,Corporate Services Manager,11-3013.01,Security Managers,1219,100.0,True
1321,Corporate Services Manager,11-3031.00,Financial Managers,1211,100.0,True
1321,Corporate Services Manager,11-3031.01,Treasurers and Controllers,1211,100.0,True
1321,Corporate Services Manager,11-3051.02,Geothermal Production Managers,1219,100.0,True
1321,Corporate Services Manager,11-3051.03,Biofuels Production Managers,1219,100.0,True
1321,Corporate Services Manager,11-3051.04,Biomass Power Plant Managers,1219,100.0,True
1321,Corporate Services Manager,11-3051.06,Hydroelectric Production Managers,1219,100.0,True
1321,Corporate Services Manager,11-9199.08,Loss Prevention Managers,1219,100.0,True
1321,Corporate Services Manager,11-9199.09,Wind Energy Operations Managers,1219,100.0,True
1321,Corporate Services Manager,13-1082.00,Project Management Specialists,1219,100.0,False
1322,Finance Manager,11-3031.00,Financial Managers,1211,100.0,True
1322,Finance Manager,11-3031.01,Treasurers and Controllers,1211,100.0,True
1323,Human Resource Manager,11-3111.00,Compensation and Benefits Managers,1212,100.0,True
1323,Human Resource Manager,11-3121.00,Human Resources Managers,1212,100.0,True
1324,Policy and Planning Manager,11-1021.00,General and Operations Managers,1213,100.0,True
1324,Policy and Planning Manager,11-3061.00,Purchasing Managers,1213,100.0,True
1324,Policy and Planning Manager,11-9151.00,Social and Community Service Managers,1213,100.0,True
1324,Policy and Planning Manager,11-9199.02,Compliance Managers,1213,100.0,True
1324,Policy and Planning Manager,13-1082.00,Project Management Specialists,1213,100.0,False
