soc_code,title,element_id,element_name,importance,level,importance_score,level_score,priority_score,osca_id,osca_occupation_title,osca_match_score
15-2021.00,Mathematicians,2.A.1.e,Mathematics,5.0,6.0,100.0,85.71,93.91,,,
15-2041.00,Statisticians,2.A.1.e,Mathematics,4.88,5.38,97.0,76.86,88.42,,,
15-2041.01,Biostatisticians,2.A.1.e,Mathematics,4.62,5.12,90.5,73.14,83.11,,,
15-2031.00,Operations Research Analysts,2.A.1.e,Mathematics,4.5,4.88,87.5,69.71,79.92,,,
15-2011.00,Actuaries,2.A.1.e,Mathematics,4.38,5.0,84.5,71.43,78.93,,,
15-2051.00,Data Scientists,2.A.1.e,Mathematics,4.38,5.0,84.5,71.43,78.93,,,
15-1211.01,Health Informatics Specialists,2.A.1.a,Reading Comprehension,4.38,4.88,84.5,69.71,78.2,261112,Systems Analyst,79.5
15-2021.00,Mathematicians,2.A.2.a,Critical Thinking,4.12,5.0,78.0,71.43,75.2,,,
15-1299.04,Penetration Testers,2.A.2.a,Critical Thinking,4.38,4.38,84.5,62.57,75.16,262112,ICT Security Specialist,87.5
15-2051.00,Data Scientists,2.A.2.a,Critical Thinking,4.25,4.62,81.25,66.0,74.76,,,
15-2011.00,Actuaries,2.A.1.a,Reading Comprehension,4.12,4.88,78.0,69.71,74.47,,,
15-2021.00,Mathematicians,2.A.2.b,Active Learning,4.0,5.12,75.0,73.14,74.21,,,
15-2041.01,Biostatisticians,2.A.1.a,Reading Comprehension,4.0,5.12,75.0,73.14,74.21,,,
15-2021.00,Mathematicians,2.A.1.a,Reading Comprehension,4.0,5.0,75.0,71.43,73.48,,,
15-2011.00,Actuaries,2.A.2.a,Critical Thinking,4.0,4.88,75.0,69.71,72.75,,,
15-2041.00,Statisticians,2.A.1.a,Reading Comprehension,4.0,4.88,75.0,69.71,72.75,,,
15-2041.01,Biostatisticians,2.A.2.a,Critical Thinking,4.0,4.88,75.0,69.71,72.75,,,
15-2041.01,Biostatisticians,2.A.2.b,Active Learning,4.0,4.88,75.0,69.71,72.75,,,
15-1299.05,Information Security Engineers,2.A.1.a,Reading Comprehension,4.12,4.38,78.0,62.57,71.43,,,
15-2041.01,Biostatisticians,2.A.1.f,Science,4.0,4.62,75.0,66.0,71.17,,,
15-2041.01,Biostatisticians,2.A.1.c,Writing,3.88,4.88,72.0,69.71,71.02,,,
15-1299.09,Information Technology Project Managers,2.A.2.a,Critical Thinking,4.12,4.25,78.0,60.71,70.64,,,
15-1299.04,Penetration Testers,2.A.1.a,Reading Comprehension,4.0,4.5,75.0,64.29,70.44,262112,ICT Security Specialist,87.5
15-2041.00,Statisticians,2.A.2.a,Critical Thinking,4.0,4.5,75.0,64.29,70.44,,,
15-2041.01,Biostatisticians,2.A.1.d,Speaking,4.0,4.5,75.0,64.29,70.44,,,
15-1241.00,Computer Network Architects,2.A.2.a,Critical Thinking,4.12,4.12,78.0,58.86,69.85,263111,Computer Network and Systems Engineer,86.0
15-2051.00,Data Scientists,2.A.1.a,Reading Comprehension,3.88,4.62,72.0,66.0,69.44,,,
15-1221.00,Computer and Information Research Scientists,2.A.2.a,Critical Thinking,4.0,4.25,75.0,60.71,68.91,,,
15-2031.00,Operations Research Analysts,2.A.1.a,Reading Comprehension,4.0,4.25,75.0,60.71,68.91,,,
15-2051.01,Business Intelligence Analysts,2.A.1.a,Reading Comprehension,4.0,4.25,75.0,60.71,68.91,261111,ICT Business Analyst,93.5
15-2051.02,Clinical Data Managers,2.A.2.a,Critical Thinking,4.0,4.25,75.0,60.71,68.91,,,
15-1211.00,Computer Systems Analysts,2.A.1.a,Reading Comprehension,3.88,4.5,72.0,64.29,68.72,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.A.2.b,Active Learning,3.75,4.75,68.75,67.86,68.37,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.A.1.b,Active Listening,4.0,4.12,75.0,58.86,68.13,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.A.2.a,Critical Thinking,4.0,4.12,75.0,58.86,68.13,261112,Systems Analyst,79.5
15-1212.00,Information Security Analysts,2.A.1.a,Reading Comprehension,4.0,4.12,75.0,58.86,68.13,262112,ICT Security Specialist,96.0
15-1241.00,Computer Network Architects,2.A.1.a,Reading Comprehension,4.0,4.12,75.0,58.86,68.13,263111,Computer Network and Systems Engineer,86.0
15-1253.00,Software Quality Assurance Analysts and Testers,2.A.1.a,Reading Comprehension,4.0,4.12,75.0,58.86,68.13,261314,Software Tester,96.0
15-1299.01,Web Administrators,2.A.2.a,Critical Thinking,4.0,4.12,75.0,58.86,68.13,313113,Web Administrator,98.0
15-1299.04,Penetration Testers,2.A.1.c,Writing,4.0,4.12,75.0,58.86,68.13,262112,ICT Security Specialist,87.5
15-1299.05,Information Security Engineers,2.A.2.a,Critical Thinking,4.0,4.12,75.0,58.86,68.13,,,
15-1299.07,Blockchain Engineers,2.A.1.a,Reading Comprehension,4.0,4.12,75.0,58.86,68.13,,,
15-2011.00,Actuaries,2.A.1.b,Active Listening,4.0,4.12,75.0,58.86,68.13,,,
15-2031.00,Operations Research Analysts,2.A.2.a,Critical Thinking,4.0,4.12,75.0,58.86,68.13,,,
15-1211.00,Computer Systems Analysts,2.A.1.d,Speaking,4.0,4.0,75.0,57.14,67.39,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.A.1.c,Writing,4.0,4.0,75.0,57.14,67.39,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.A.1.d,Speaking,4.0,4.0,75.0,57.14,67.39,261112,Systems Analyst,79.5
15-1232.00,Computer User Support Specialists,2.A.1.a,Reading Comprehension,4.0,4.0,75.0,57.14,67.39,313112,ICT Customer Support Officer,95.0
15-1232.00,Computer User Support Specialists,2.A.1.b,Active Listening,4.0,4.0,75.0,57.14,67.39,313112,ICT Customer Support Officer,95.0
15-1232.00,Computer User Support Specialists,2.A.1.d,Speaking,4.0,4.0,75.0,57.14,67.39,313112,ICT Customer Support Officer,95.0
15-1244.00,Network and Computer Systems Administrators,2.A.1.b,Active Listening,4.0,4.0,75.0,57.14,67.39,263112,Network Administrator,95.0
15-1299.08,Computer Systems Engineers/Architects,2.A.1.a,Reading Comprehension,4.0,4.0,75.0,57.14,67.39,,,
15-1299.08,Computer Systems Engineers/Architects,2.A.1.b,Active Listening,4.0,4.0,75.0,57.14,67.39,,,
15-1299.08,Computer Systems Engineers/Architects,2.A.2.a,Critical Thinking,4.0,4.0,75.0,57.14,67.39,,,
15-1299.09,Information Technology Project Managers,2.A.1.a,Reading Comprehension,4.0,4.0,75.0,57.14,67.39,,,
15-1299.09,Information Technology Project Managers,2.A.1.b,Active Listening,4.0,4.0,75.0,57.14,67.39,,,
15-1299.09,Information Technology Project Managers,2.A.1.c,Writing,4.0,4.0,75.0,57.14,67.39,,,
15-2031.00,Operations Research Analysts,2.A.1.b,Active Listening,4.0,4.0,75.0,57.14,67.39,,,
15-2031.00,Operations Research Analysts,2.A.1.c,Writing,4.0,4.0,75.0,57.14,67.39,,,
15-2031.00,Operations Research Analysts,2.A.1.d,Speaking,4.0,4.0,75.0,57.14,67.39,,,
15-2011.00,Actuaries,2.A.1.d,Speaking,3.88,4.25,72.0,60.71,67.19,,,
15-2041.00,Statisticians,2.A.1.d,Speaking,3.88,4.25,72.0,60.71,67.19,,,
15-2041.01,Biostatisticians,2.A.1.b,Active Listening,3.88,4.25,72.0,60.71,67.19,,,
15-2051.01,Business Intelligence Analysts,2.A.2.a,Critical Thinking,3.88,4.25,72.0,60.71,67.19,261111,ICT Business Analyst,93.5
15-2051.02,Clinical Data Managers,2.A.1.a,Reading Comprehension,3.88,4.25,72.0,60.71,67.19,,,
15-1221.00,Computer and Information Research Scientists,2.A.1.a,Reading Comprehension,3.75,4.5,68.75,64.29,66.85,,,
15-1212.00,Information Security Analysts,2.A.2.a,Critical Thinking,3.88,4.12,72.0,58.86,66.4,262112,ICT Security Specialist,96.0
15-1243.00,Database Architects,2.A.1.a,Reading Comprehension,3.88,4.12,72.0,58.86,66.4,262111,Database Administrator,84.0
15-1252.00,Software Developers,2.A.2.a,Critical Thinking,3.88,4.12,72.0,58.86,66.4,261313,Software Engineer,96.0
15-1299.01,Web Administrators,2.A.1.a,Reading Comprehension,3.88,4.12,72.0,58.86,66.4,313113,Web Administrator,98.0
15-1299.05,Information Security Engineers,2.A.1.b,Active Listening,3.88,4.12,72.0,58.86,66.4,,,
15-2031.00,Operations Research Analysts,2.A.2.b,Active Learning,3.88,4.12,72.0,58.86,66.4,,,
15-2051.01,Business Intelligence Analysts,2.A.2.b,Active Learning,3.88,4.12,72.0,58.86,66.4,261111,ICT Business Analyst,93.5
15-2021.00,Mathematicians,2.A.1.c,Writing,3.62,4.62,65.5,66.0,65.71,,,
15-1241.01,Telecommunications Engineering Specialists,2.A.1.a,Reading Comprehension,3.88,4.0,72.0,57.14,65.67,263311,Telecommunications Engineer,93.0
15-1242.00,Database Administrators,2.A.2.a,Critical Thinking,3.88,4.0,72.0,57.14,65.67,262111,Database Administrator,96.5
15-1243.01,Data Warehousing Specialists,2.A.1.a,Reading Comprehension,3.88,4.0,72.0,57.14,65.67,,,
15-1244.00,Network and Computer Systems Administrators,2.A.1.a,Reading Comprehension,3.88,4.0,72.0,57.14,65.67,263112,Network Administrator,95.0
15-1244.00,Network and Computer Systems Administrators,2.A.2.a,Critical Thinking,3.88,4.0,72.0,57.14,65.67,263112,Network Administrator,95.0
15-1244.00,Network and Computer Systems Administrators,2.A.2.d,Monitoring,3.88,4.0,72.0,57.14,65.67,263112,Network Administrator,95.0
15-1253.00,Software Quality Assurance Analysts and Testers,2.A.1.b,Active Listening,3.88,4.0,72.0,57.14,65.67,261314,Software Tester,96.0
15-1253.00,Software Quality Assurance Analysts and Testers,2.A.1.d,Speaking,3.88,4.0,72.0,57.14,65.67,261314,Software Tester,96.0
15-1299.02,Geographic Information Systems Technologists and Technicians,2.A.1.a,Reading Comprehension,3.88,4.0,72.0,57.14,65.67,,,
15-1299.04,Penetration Testers,2.A.1.b,Active Listening,3.88,4.0,72.0,57.14,65.67,262112,ICT Security Specialist,87.5
15-1299.08,Computer Systems Engineers/Architects,2.A.1.c,Writing,3.88,4.0,72.0,57.14,65.67,,,
15-1299.08,Computer Systems Engineers/Architects,2.A.1.d,Speaking,3.88,4.0,72.0,57.14,65.67,,,
15-1299.09,Information Technology Project Managers,2.A.1.d,Speaking,3.88,4.0,72.0,57.14,65.67,,,
15-2011.00,Actuaries,2.A.1.c,Writing,3.88,4.0,72.0,57.14,65.67,,,
15-2041.00,Statisticians,2.A.1.b,Active Listening,3.88,4.0,72.0,57.14,65.67,,,
15-2051.01,Business Intelligence Analysts,2.A.1.b,Active Listening,3.88,4.0,72.0,57.14,65.67,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.A.1.d,Speaking,3.88,4.0,72.0,57.14,65.67,261111,ICT Business Analyst,93.5
15-2051.02,Clinical Data Managers,2.A.1.d,Speaking,3.88,4.0,72.0,57.14,65.67,,,
15-1221.00,Computer and Information Research Scientists,2.A.2.b,Active Learning,3.5,4.88,62.5,69.71,65.57,,,
15-1242.00,Database Administrators,2.A.1.a,Reading Comprehension,3.75,4.25,68.75,60.71,65.33,262111,Database Administrator,96.5
15-2041.00,Statisticians,2.A.1.c,Writing,3.75,4.25,68.75,60.71,65.33,,,
15-2099.01,Bioinformatics Technicians,2.A.1.a,Reading Comprehension,3.75,4.25,68.75,60.71,65.33,,,
15-1299.09,Information Technology Project Managers,2.A.2.d,Monitoring,3.62,4.5,65.5,64.29,64.98,,,
15-2021.00,Mathematicians,2.A.1.f,Science,3.62,4.5,65.5,64.29,64.98,,,
15-1241.01,Telecommunications Engineering Specialists,2.A.2.a,Critical Thinking,3.88,3.88,72.0,55.43,64.94,263311,Telecommunications Engineer,93.0
15-1243.00,Database Architects,2.A.2.a,Critical Thinking,3.88,3.88,72.0,55.43,64.94,262111,Database Administrator,84.0
15-1243.01,Data Warehousing Specialists,2.A.2.a,Critical Thinking,3.88,3.88,72.0,55.43,64.94,,,
15-1253.00,Software Quality Assurance Analysts and Testers,2.A.2.a,Critical Thinking,3.88,3.88,72.0,55.43,64.94,261314,Software Tester,96.0
15-1255.01,Video Game Designers,2.A.1.b,Active Listening,3.88,3.88,72.0,55.43,64.94,261211,Game and Multimedia Developer,94.0
15-1299.03,Document Management Specialists,2.A.1.a,Reading Comprehension,3.88,3.88,72.0,55.43,64.94,,,
15-2051.02,Clinical Data Managers,2.A.1.b,Active Listening,3.88,3.88,72.0,55.43,64.94,,,
15-1221.00,Computer and Information Research Scientists,2.A.1.b,Active Listening,3.75,4.12,68.75,58.86,64.54,,,
15-2051.00,Data Scientists,2.A.2.b,Active Learning,3.62,4.38,65.5,62.57,64.25,,,
15-1211.00,Computer Systems Analysts,2.A.1.b,Active Listening,3.75,4.0,68.75,57.14,63.81,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.A.2.a,Critical Thinking,3.75,4.0,68.75,57.14,63.81,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.A.2.c,Learning Strategies,3.75,4.0,68.75,57.14,63.81,261112,Systems Analyst,79.5
15-1251.00,Computer Programmers,2.A.1.b,Active Listening,3.75,4.0,68.75,57.14,63.81,261312,Developer Programmer,94.5
15-1255.01,Video Game Designers,2.A.1.a,Reading Comprehension,3.75,4.0,68.75,57.14,63.81,261211,Game and Multimedia Developer,94.0
15-1299.07,Blockchain Engineers,2.A.2.a,Critical Thinking,3.75,4.0,68.75,57.14,63.81,,,
15-2051.01,Business Intelligence Analysts,2.A.1.c,Writing,3.75,4.0,68.75,57.14,63.81,261111,ICT Business Analyst,93.5
15-2051.02,Clinical Data Managers,2.A.1.c,Writing,3.75,4.0,68.75,57.14,63.81,,,
15-1212.00,Information Security Analysts,2.A.1.b,Active Listening,3.75,3.88,68.75,55.43,63.08,262112,ICT Security Specialist,96.0
15-1232.00,Computer User Support Specialists,2.A.2.a,Critical Thinking,3.75,3.88,68.75,55.43,63.08,313112,ICT Customer Support Officer,95.0
15-1241.00,Computer Network Architects,2.A.1.b,Active Listening,3.75,3.88,68.75,55.43,63.08,263111,Computer Network and Systems Engineer,86.0
15-1242.00,Database Administrators,2.A.1.b,Active Listening,3.75,3.88,68.75,55.43,63.08,262111,Database Administrator,96.5
15-1251.00,Computer Programmers,2.A.2.a,Critical Thinking,3.75,3.88,68.75,55.43,63.08,261312,Developer Programmer,94.5
15-1253.00,Software Quality Assurance Analysts and Testers,2.A.1.c,Writing,3.75,3.88,68.75,55.43,63.08,261314,Software Tester,96.0
15-1254.00,Web Developers,2.A.2.a,Critical Thinking,3.75,3.88,68.75,55.43,63.08,261212,Web Developer,98.0
15-1255.01,Video Game Designers,2.A.2.a,Critical Thinking,3.75,3.88,68.75,55.43,63.08,261211,Game and Multimedia Developer,94.0
15-1299.01,Web Administrators,2.A.1.b,Active Listening,3.75,3.88,68.75,55.43,63.08,313113,Web Administrator,98.0
15-1299.03,Document Management Specialists,2.A.1.b,Active Listening,3.75,3.88,68.75,55.43,63.08,,,
15-1299.03,Document Management Specialists,2.A.1.c,Writing,3.75,3.88,68.75,55.43,63.08,,,
15-2041.00,Statisticians,2.A.2.b,Active Learning,3.75,3.88,68.75,55.43,63.08,,,
15-1299.04,Penetration Testers,2.A.2.b,Active Learning,3.62,4.12,65.5,58.86,62.67,262112,ICT Security Specialist,87.5
15-1299.05,Information Security Engineers,2.A.1.c,Writing,3.62,4.12,65.5,58.86,62.67,,,
15-1299.08,Computer Systems Engineers/Architects,2.A.2.b,Active Learning,3.62,4.12,65.5,58.86,62.67,,,
15-2051.02,Clinical Data Managers,2.A.2.d,Monitoring,3.62,4.12,65.5,58.86,62.67,,,
15-1231.00,Computer Network Support Specialists,2.A.2.a,Critical Thinking,3.75,3.75,68.75,53.57,62.29,313112,ICT Customer Support Officer,83.5
