occupation_id,isco08_code,match_type
121232,0110,exact
149231,0110,exact
149431,0210,exact
451131,0310,exact
121331,1111,exact
121332,1111,exact
121399,1111,exact
121131,1112,partial
121231,1112,partial
149999,1112,partial
121131,1114,partial
121231,1114,partial
121131,1120,partial
121231,1120,partial
111131,1211,partial
111231,1211,exact
211132,1211,exact
223931,1211,exact
111331,1212,exact
111633,1212,exact
111431,1213,exact
111631,1213,partial
111632,1213,partial
111131,1219,partial
172132,1219,partial
172331,1219,partial
172934,1219,exact
112132,1221,exact
112133,1221,exact
112131,1222,exact
112231,1222,exact
111531,1223,exact
132231,1311,exact
151131,1311,partial
151132,1311,partial
151133,1311,partial
151199,1311,partial
151231,1311,partial
151232,1311,partial
151233,1311,partial
151236,1311,partial
151237,1311,partial
151299,1311,partial
151332,1311,partial
151399,1311,partial
152131,1311,partial
152231,1311,partial
152331,1311,partial
152431,1311,partial
152931,1311,partial
152932,1311,partial
152933,1311,partial
152934,1311,partial
152935,1311,partial
152999,1311,partial
151331,1312,partial
132131,1321,exact
132232,1321,partial
132233,1322,exact
131131,1323,exact
131331,1323,partial
131431,1323,exact
133131,1324,exact
133231,1324,exact
133331,1324,exact
172531,1324,exact
172532,1324,exact
172533,1324,exact
113131,1330,exact
113132,1330,exact
113231,1330,exact
113232,1330,exact
113233,1330,exact
113299,1330,exact
141231,1341,exact
141332,1342,exact
141333,1342,exact
141334,1342,exact
141399,1342,partial
171331,1342,partial
141331,1343,exact
141399,1343,partial
172933,1343,exact
141335,1344,exact
141399,1344,partial
141131,1345,exact
141132,1345,exact
141431,1345,exact
141432,1345,exact
141499,1345,exact
171131,1346,exact
131231,1349,exact
131931,1349,exact
131999,1349,exact
149131,1349,exact
149132,1349,exact
149133,1349,exact
149199,1349,partial
149232,1349,exact
149233,1349,exact
149331,1349,exact
149332,1349,exact
149333,1349,exact
149399,1349,exact
149931,1349,exact
149932,1349,exact
149933,1349,exact
149999,1349,partial
161131,1411,exact
161431,1411,exact
161999,1411,partial
471533,1411,exact
161231,1412,partial
161232,1412,exact
133132,1420,exact
161332,1420,partial
162131,1420,partial
162132,1420,partial
162133,1420,partial
172431,1420,partial
161331,1431,exact
161333,1431,exact
161334,1431,exact
161335,1431,exact
161399,1439,exact
161531,1439,exact
161931,1439,exact
161933,1439,exact
161999,1439,partial
172131,1439,exact
172132,1439,partial
172331,1439,partial
172499,1439,exact
172931,1439,exact
172932,1439,exact
172999,1439,exact
244732,2111,exact
244933,2111,exact
244932,2112,exact
244231,2113,exact
244531,2114,exact
244532,2114,exact
244533,2114,exact
223131,2120,exact
223132,2120,exact
223133,2120,exact
223231,2120,exact
223232,2120,exact
223233,2120,exact
223234,2120,exact
244133,2131,partial
244134,2131,partial
244631,2131,exact
244632,2131,exact
244633,2131,exact
244634,2131,exact
244635,2131,exact
244636,2131,exact
244699,2131,exact
244731,2131,partial
244131,2132,exact
244132,2132,exact
244133,2132,partial
244134,2132,partial
244135,2132,exact
244499,2132,partial
244331,2133,partial
244332,2133,exact
244333,2133,exact
244334,2133,partial
244431,2133,exact
244432,2133,exact
244499,2133,partial
243531,2141,partial
243533,2141,exact
243934,2141,partial
243231,2142,exact
243232,2142,exact
243233,2142,exact
243234,2142,exact
243235,2142,exact
243236,2142,exact
243934,2142,partial
243935,2143,exact
243532,2144,exact
243932,2144,exact
243934,2144,partial
243938,2144,exact
243131,2145,exact
243934,2145,partial
244232,2145,exact
244233,2145,exact
243132,2146,exact
243133,2146,partial
243631,2146,exact
243632,2146,exact
243934,2146,partial
241932,2149,exact
243133,2149,partial
243531,2149,partial
243931,2149,exact
243933,2149,exact
243934,2149,partial
243936,2149,exact
243937,2149,exact
243999,2149,exact
312234,2149,partial
243331,2151,exact
243332,2151,exact
243934,2151,partial
243431,2152,exact
243934,2152,partial
272331,2153,exact
241131,2161,exact
242431,2161,partial
241132,2162,exact
241133,2162,exact
312134,2162,exact
242231,2163,exact
242232,2163,exact
242233,2163,exact
242234,2163,exact
241331,2164,exact
241231,2165,exact
241232,2165,exact
241233,2165,exact
241234,2165,exact
241235,2165,exact
241299,2165,exact
242131,2166,exact
242132,2166,exact
242133,2166,exact
