isco08_code,soc_2010_code,match_type
0110,55-1011,partial
0110,55-1012,partial
0110,55-1013,partial
0110,55-1014,partial
0110,55-1015,partial
0110,55-1016,partial
0110,55-1017,partial
0110,55-1019,partial
0210,55-2011,partial
0210,55-2012,partial
0210,55-2013,partial
0310,55-3011,partial
0310,55-3012,partial
0310,55-3013,partial
0310,55-3014,partial
0310,55-3015,partial
0310,55-3016,partial
0310,55-3017,partial
0310,55-3018,partial
0310,55-3019,partial
1111,11-1031,exact
1112,11-1011,partial
1112,11-1021,partial
1112,11-9161,partial
1113,11-1011,partial
1113,11-1031,partial
1114,11-1021,partial
1114,11-2031,partial
1114,11-9199,partial
1120,11-1011,partial
1120,11-1021,partial
1211,11-3031,exact
1212,11-3111,partial
1212,11-3121,partial
1212,11-3131,partial
1213,11-9199,exact
1219,11-2031,partial
1219,11-3011,partial
1219,11-3061,partial
1219,11-9061,partial
1219,11-9131,partial
1219,11-9199,partial
1221,11-2021,partial
1221,11-2022,partial
1222,11-2011,partial
1222,11-2031,partial
1223,11-9041,partial
1223,11-9121,partial
1311,11-9013,exact
1312,11-9013,exact
1321,11-3051,exact
1322,11-9199,exact
1323,11-9021,exact
1324,11-3071,exact
1330,11-3021,exact
1341,11-9031,exact
1342,11-9111,exact
1343,11-1021,partial
1343,11-9111,partial
1344,11-9151,exact
1345,11-9032,partial
1345,11-9033,partial
1345,11-9039,partial
1346,11-1021,partial
1346,11-3031,partial
1349,11-9199,exact
1411,11-9081,exact
1412,11-9051,exact
1420,11-1021,exact
1431,11-9071,partial
1431,11-9199,partial
1439,11-9199,exact
211,19-2099,exact
2111,19-2011,partial
2111,19-2012,partial
2112,19-2021,exact
2113,19-2031,partial
2113,19-2032,partial
2114,19-2042,partial
2114,19-2043,partial
2120,15-2011,partial
2120,15-2021,partial
2120,15-2031,partial
2120,15-2041,partial
2120,19-3022,partial
2131,19-1011,partial
2131,19-1012,partial
2131,19-1013,partial
2131,19-1021,partial
2131,19-1022,partial
2131,19-1023,partial
2131,19-1029,partial
2131,19-1041,partial
2131,19-1042,partial
2131,19-1099,partial
2132,19-1013,partial
2132,19-1032,partial
2132,25-9021,partial
2133,19-1031,partial
2133,19-2041,partial
2141,17-2112,exact
2142,17-2051,exact
2143,17-2081,exact
2144,17-2011,partial
2144,17-2021,partial
2144,17-2121,partial
2144,17-2141,partial
2145,17-2041,exact
2146,17-2131,partial
2146,17-2151,partial
2146,17-2171,partial
2146,19-2032,partial
2149,17-2031,partial
2149,17-2111,partial
2149,17-2131,partial
2149,17-2161,partial
2149,17-2199,partial
2151,17-2071,exact
2152,17-2061,partial
2152,17-2072,partial
2153,17-2072,exact
2161,17-1011,exact
2162,17-1012,exact
2163,27-1021,partial
2163,27-1022,partial
2163,27-1029,partial
2164,19-3051,exact
2165,17-1021,partial
2165,17-1022,partial
2166,27-1014,partial
2166,27-1024,partial
2211,29-1062,partial
2211,29-1063,partial
2211,29-1065,partial
2211,29-1069,partial
2212,29-1061,partial
2212,29-1064,partial
2212,29-1066,partial
2212,29-1067,partial
2212,29-1069,partial
2221,29-1141,partial
2221,29-1151,partial
2221,29-1171,partial
2222,29-1161,exact
2230,29-1199,exact
2240,29-1071,exact
2250,29-1131,exact
2261,29-1021,partial
2261,29-1022,partial
2261,29-1023,partial
2261,29-1024,partial
2261,29-1029,partial
2262,29-1051,exact
2263,21-1091,partial
2263,29-9011,partial
2264,29-1123,partial
2264,29-1128,partial
2265,29-1031,exact
2266,29-1127,partial
2266,29-1181,partial
2267,29-1041,exact
2269,29-1011,partial
2269,29-1081,partial
2269,29-1122,partial
2269,29-1125,partial
2269,29-1129,partial
2269,29-1199,partial
2269,29-9092,partial
2310,25-1011,partial
2310,25-1021,partial
2310,25-1022,partial
2310,25-1031,partial
2310,25-1032,partial
2310,25-1041,partial
2310,25-1042,partial
2310,25-1043,partial
2310,25-1051,partial
2310,25-1052,partial
2310,25-1053,partial
2310,25-1054,partial
2310,25-1061,partial
2310,25-1062,partial
2310,25-1063,partial
2310,25-1064,partial
2310,25-1065,partial
2310,25-1066,partial
2310,25-1067,partial
2310,25-1069,partial
2310,25-1071,partial
2310,25-1072,partial
2310,25-1081,partial
2310,25-1082,partial
2310,25-1111,partial
2310,25-1112,partial
2310,25-1113,partial
2310,25-1121,partial
2310,25-1122,partial
2310,25-1123,partial
2310,25-1124,partial
2310,25-1125,partial
2310,25-1126,partial
2310,25-1191,partial
2310,25-1192,partial
2310,25-1193,partial
2310,25-1199,partial
2320,25-1194,partial
2320,25-2023,partial
2320,25-2032,partial
2330,25-2031,exact
2341,25-2021,partial
2341,25-2022,partial
2342,25-2011,partial
2342,25-2012,partial
2351,25-9031,exact
2352,25-2051,partial
2352,25-2052,partial
2352,25-2053,partial
2352,25-2054,partial
2352,25-2059,partial
2353,25-3011,partial
2353,25-3021,partial
2353,25-3099,partial
2354,25-3021,exact
2355,25-3021,partial
2355,25-3099,partial
2356,13-1151,exact
2359,21-1012,partial
2359,25-3099,partial
2359,25-9099,partial
2411,13-2011,partial
2411,13-2031,partial
2411,13-2082,partial
2412,13-2051,partial
2412,13-2052,partial
2413,13-2041,partial
2413,13-2051,partial
2413,13-2061,partial
2421,13-1081,partial
2421,13-1111,partial
2422,13-1199,exact
2423,13-1071,partial
2423,13-1075,partial
2423,13-1141,partial
2423,21-1012,partial
2424,13-1151,exact
2431,13-1161,partial
2431,27-3043,partial
2432,27-3031,exact
2433,41-1012,partial
2433,41-4011,partial
2434,41-1012,partial
2434,41-4011,partial
2434,41-9031,partial
2511,15-1111,partial
2511,15-1121,partial
2512,15-1132,partial
2512,15-1133,partial
2513,15-1134,exact
2514,15-1131,exact
2519,15-1199,exact
2521,15-1141,exact
2522,15-1142,exact
2523,15-1143,exact
2529,15-1122,partial
2529,15-1199,partial
2611,23-1011,exact
2612,23-1021,partial
2612,23-1023,partial
2619,23-1022,exact
2621,25-4011,partial
2621,25-4012,partial
2622,25-4021,partial
2622,25-9011,partial
2631,19-3011,exact
2632,19-3041,partial
2632,19-3091,partial
2632,19-3092,partial
2633,19-3093,partial
2633,19-3094,partial
2633,19-3099,partial
2634,19-3031,partial
2634,19-3032,partial
2634,19-3039,partial
2635,21-1011,partial
2635,21-1013,partial
2635,21-1014,partial
2635,21-1015,partial
2635,21-1019,partial
2635,21-1021,partial
2635,21-1022,partial
2635,21-1023,partial
2635,21-1029,partial
2635,21-1092,partial
2635,21-1099,partial
2636,21-2011,partial
2636,21-2021,partial
2641,27-3041,partial
2641,27-3042,partial
2641,27-3043,partial
2642,27-3022,partial
2642,27-3041,partial
2643,19-3099,partial
2643,27-3091,partial
2651,27-1012,partial
2651,27-1013,partial
2652,27-2041,partial
2652,27-2042,partial
2653,27-2031,partial
2653,27-2032,partial
2654,27-1011,partial
2654,27-2012,partial
2654,27-4032,partial
2655,27-2011,exact
2656,27-3011,partial
2656,27-3012,partial
2656,27-3021,partial
2659,27-2099,exact
3111,19-4031,partial
3111,19-4041,partial
3111,19-4099,partial
3112,17-3022,partial
3112,17-3031,partial
3112,33-1021,partial
3112,33-2021,partial
3112,47-4011,partial
3113,17-3023,partial
3113,17-3024,partial
3114,17-3023,exact
3115,17-3021,partial
3115,17-3024,partial
3115,17-3027,partial
3115,17-3029,partial
3116,17-3029,exact
3117,17-3029,partial
3117,19-4041,partial
3118,17-3011,partial
3118,17-3012,partial
3118,17-3013,partial
3118,17-3019,partial
3118,27-1013,partial
3119,17-3025,partial
3119,17-3026,partial
3119,17-3029,partial
3119,19-4051,partial
3119,19-4092,partial
3119,19-4099,partial
3119,33-1021,partial
3119,33-2021,partial
3119,33-2022,partial
3119,53-6041,partial
3121,47-1011,exact
3122,51-1011,exact
3123,47-1011,exact
3131,51-1011,partial
3131,51-8011,partial
3131,51-8012,partial
3131,51-8013,partial
3132,51-1011,partial
3132,51-8031,partial
3132,51-8099,partial
3132,53-7072,partial
3133,51-8091,exact
3134,51-8092,partial
3134,51-8093,partial
3134,53-7071,partial
3134,53-7072,partial
3135,51-4051,exact
3139,51-4012,exact
3141,19-4021,partial
3141,19-4091,partial
3142,19-4011,exact
3143,19-4093,exact
315,53-2022,exact
3151,53-1031,partial
3151,53-5031,partial
3152,53-1031,partial
3152,53-5021,partial
3153,53-1031,partial
3153,53-2011,partial
3153,53-2012,partial
3154,53-1031,partial
3154,53-2021,partial
3155,17-3023,exact
3211,29-1124,partial
3211,29-2032,partial
3211,29-2033,partial
3211,29-2034,partial
3211,29-2035,partial
3212,29-2011,partial
3212,29-2012,partial
3213,29-2052,exact
3214,29-2091,partial
3214,29-2092,partial
3214,51-9081,partial
3214,51-9082,partial
3221,29-2061,exact
3222,29-9099,exact
3230,29-9099,exact
3240,29-2056,partial
3240,31-9096,partial
3251,29-2021,partial
3251,31-9091,partial
3252,29-2071,exact
3253,21-1094,exact
3254,29-2081,exact
3255,29-1199,partial
3255,31-2021,partial
3255,31-9011,partial
3256,29-2057,partial
3256,31-9092,partial
3257,29-9012,partial
3257,45-2011,partial
3257,53-1031,partial
3257,53-6051,partial
3258,29-2041,exact
3259,29-1126,partial
3259,29-2031,partial
3259,29-2051,partial
3259,29-2053,partial
3259,29-2054,partial
3259,29-2055,partial
3259,29-2099,partial
3259,29-9099,partial
3259,31-2011,partial
3259,31-9099,partial
3311,41-1012,partial
3311,41-3031,partial
3312,13-2071,partial
3312,13-2072,partial
3313,43-3031,exact
3314,15-2091,partial
3314,15-2099,partial
3314,19-4061,partial
3314,43-9111,partial
3315,13-1031,partial
3315,13-1032,partial
3315,13-2021,partial
3321,13-2053,partial
3321,41-1012,partial
3321,41-3021,partial
3322,41-1012,partial
3322,41-3099,partial
3322,41-4011,partial
3322,41-4012,partial
3323,13-1021,partial
3323,13-1022,partial
3323,13-1023,partial
3324,41-1012,partial
3324,41-3031,partial
3324,43-5011,partial
3331,43-5011,partial
3331,43-5071,partial
3332,13-1121,exact
3333,13-1071,partial
3333,13-1074,partial
3334,11-9141,partial
3334,41-1012,partial
3334,41-9021,partial
3334,41-9022,partial
3339,13-1011,partial
3339,13-1051,partial
3339,13-1199,partial
3339,13-2099,partial
3339,41-1012,partial
3339,41-3011,partial
3339,41-3041,partial
3339,41-9099,partial
3341,43-1011,exact
3342,43-6012,exact
3343,23-2091,partial
3343,43-6011,partial
3344,31-9094,partial
3344,43-6013,partial
3351,13-1041,partial
3351,33-1012,partial
3351,33-3051,partial
3352,13-2081,exact
3353,13-1041,partial
3353,43-4061,partial
3354,13-1041,partial
3354,43-4031,partial
3355,33-1012,partial
3355,33-3021,partial
3359,45-2011,exact
3411,23-1012,partial
3411,23-2011,partial
3411,23-2093,partial
3411,23-2099,partial
3411,33-3011,partial
3411,33-9021,partial
3411,33-9031,partial
3412,21-1093,exact
3413,21-2099,exact
3421,27-2021,exact
3422,25-3021,partial
3422,27-2022,partial
3422,27-2023,partial
3423,25-3021,partial
3423,29-9091,partial
3423,39-1021,partial
3423,39-9031,partial
3431,27-4021,exact
3432,27-1025,partial
3432,27-1026,partial
3432,27-1027,partial
3433,25-4013,partial
3433,25-4031,partial
3433,27-1012,partial
3434,35-1011,partial
3434,35-1012,partial
3435,27-1019,partial
3435,27-2099,partial
3435,27-3099,partial
3435,27-4099,partial
3435,39-3092,partial
3435,39-3099,partial
3511,43-9011,exact
3512,15-1151,exact
3513,15-1152,exact
3514,15-1134,partial
3514,15-1142,partial
3521,27-4011,partial
3521,27-4012,partial
3521,27-4013,partial
3521,27-4014,partial
3521,27-4031,partial
3521,27-4099,partial
3522,17-3023,exact
4110,43-3061,partial
4110,43-9061,partial
4120,43-6014,exact
4131,43-9022,exact
4132,43-9021,exact
4211,43-3071,partial
4211,43-5051,partial
4212,39-1011,partial
4212,39-1012,partial
4212,39-3011,partial
4212,39-3012,partial
4212,39-3019,partial
4212,43-3041,partial
4213,41-9099,partial
4213,43-3099,partial
4214,13-1131,partial
4214,43-3011,partial
4221,41-1012,partial
4221,41-3041,partial
4221,43-4181,partial
4222,43-4051,partial
4222,43-4171,partial
4223,43-2011,partial
4223,43-2021,partial
4224,39-6012,partial
4224,43-4081,partial
4225,43-4021,partial
4225,43-4171,partial
4226,43-4171,exact
4227,43-4111,exact
4229,43-2099,partial
4229,43-4061,partial
4229,43-4199,partial
4311,43-3021,partial
4311,43-3031,partial
4312,43-3099,partial
4312,43-4011,partial
4312,43-4041,partial
4312,43-4131,partial
4312,43-4141,partial
4312,43-9041,partial
4313,43-3051,exact
4321,43-5071,partial
4321,43-5081,partial
4321,43-5111,partial
4322,43-5061,exact
4323,43-5032,exact
4411,25-4031,partial
4411,43-4121,partial
4412,43-5021,partial
4412,43-5051,partial
4412,43-5052,partial
4412,43-5053,partial
4412,43-9051,partial
4413,43-9081,exact
4414,39-1021,partial
4414,39-9021,partial
4415,43-4071,partial
