occupation_id,osca_title,candidate_onet_soc_code,candidate_onet_title,match_type
111131,Corporate Services Manager,11-3031.00,Financial Managers,partial
111131,Corporate Services Manager,11-3031.01,Treasurers and Controllers,partial
111131,Corporate Services Manager,11-3031.03,Investment Fund Managers,partial
111131,Corporate Services Manager,11-2032.00,Public Relations Managers,partial
111131,Corporate Services Manager,11-2033.00,Fundraising Managers,partial
111131,Corporate Services Manager,11-3012.00,Administrative Services Managers,partial
111131,Corporate Services Manager,11-3013.00,Facilities Managers,partial
111131,Corporate Services Manager,11-3013.01,Security Managers,partial
111131,Corporate Services Manager,11-3061.00,Purchasing Managers,partial
111131,Corporate Services Manager,11-9171.00,Funeral Home Managers,partial
111131,Corporate Services Manager,11-9131.00,Postmasters and Mail Superintendents,partial
111131,Corporate Services Manager,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",partial
111131,Corporate Services Manager,11-9179.00,"Personal Service Managers, All Other",partial
111131,Corporate Services Manager,11-9179.01,Fitness and Wellness Coordinators,partial
111131,Corporate Services Manager,11-9179.02,Spa Managers,partial
111131,Corporate Services Manager,11-9199.00,"Managers, All Other",partial
111131,Corporate Services Manager,11-9199.01,Regulatory Affairs Managers,partial
111131,Corporate Services Manager,11-9199.02,Compliance Managers,partial
111131,Corporate Services Manager,11-9199.08,Loss Prevention Managers,partial
111131,Corporate Services Manager,11-9199.09,Wind Energy Operations Managers,partial
111131,Corporate Services Manager,11-9199.10,Wind Energy Development Managers,partial
111131,Corporate Services Manager,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,partial
111131,Corporate Services Manager,13-1082.00,Project Management Specialists,partial
111231,Finance Manager,11-3031.00,Financial Managers,exact
111231,Finance Manager,11-3031.01,Treasurers and Controllers,exact
111231,Finance Manager,11-3031.03,Investment Fund Managers,exact
111331,Human Resources Manager,11-3111.00,Compensation and Benefits Managers,partial
111331,Human Resources Manager,11-3121.00,Human Resources Managers,partial
111331,Human Resources Manager,11-3131.00,Training and Development Managers,partial
111431,Policy and Planning Manager,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",partial
111431,Policy and Planning Manager,11-9179.00,"Personal Service Managers, All Other",partial
111431,Policy and Planning Manager,11-9179.01,Fitness and Wellness Coordinators,partial
111431,Policy and Planning Manager,11-9179.02,Spa Managers,partial
111431,Policy and Planning Manager,11-9199.00,"Managers, All Other",partial
111431,Policy and Planning Manager,11-9199.01,Regulatory Affairs Managers,partial
111431,Policy and Planning Manager,11-9199.02,Compliance Managers,partial
111431,Policy and Planning Manager,11-9199.08,Loss Prevention Managers,partial
111431,Policy and Planning Manager,11-9199.09,Wind Energy Operations Managers,partial
111431,Policy and Planning Manager,11-9199.10,Wind Energy Development Managers,partial
111431,Policy and Planning Manager,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,partial
111431,Policy and Planning Manager,13-1082.00,Project Management Specialists,partial
111531,Research and Development Manager,11-9041.00,Architectural and Engineering Managers,partial
111531,Research and Development Manager,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,partial
111531,Research and Development Manager,11-9121.00,Natural Sciences Managers,partial
111531,Research and Development Manager,11-9121.01,Clinical Research Coordinators,partial
111531,Research and Development Manager,11-9121.02,Water Resource Specialists,partial
111631,Quality Assurance Manager,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",partial
111631,Quality Assurance Manager,11-9179.00,"Personal Service Managers, All Other",partial
111631,Quality Assurance Manager,11-9179.01,Fitness and Wellness Coordinators,partial
111631,Quality Assurance Manager,11-9179.02,Spa Managers,partial
111631,Quality Assurance Manager,11-9199.00,"Managers, All Other",partial
111631,Quality Assurance Manager,11-9199.01,Regulatory Affairs Managers,partial
111631,Quality Assurance Manager,11-9199.02,Compliance Managers,partial
111631,Quality Assurance Manager,11-9199.08,Loss Prevention Managers,partial
111631,Quality Assurance Manager,11-9199.09,Wind Energy Operations Managers,partial
111631,Quality Assurance Manager,11-9199.10,Wind Energy Development Managers,partial
111631,Quality Assurance Manager,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,partial
111631,Quality Assurance Manager,13-1082.00,Project Management Specialists,partial
111631,Quality Assurance Manager,13-1081.00,Logisticians,partial
111631,Quality Assurance Manager,13-1081.01,Logistics Engineers,partial
111631,Quality Assurance Manager,13-1081.02,Logistics Analysts,partial
111631,Quality Assurance Manager,13-1111.00,Management Analysts,partial
111632,Regulatory Affairs Manager,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",partial
111632,Regulatory Affairs Manager,11-9179.00,"Personal Service Managers, All Other",partial
111632,Regulatory Affairs Manager,11-9179.01,Fitness and Wellness Coordinators,partial
111632,Regulatory Affairs Manager,11-9179.02,Spa Managers,partial
111632,Regulatory Affairs Manager,11-9199.00,"Managers, All Other",partial
111632,Regulatory Affairs Manager,11-9199.01,Regulatory Affairs Managers,partial
111632,Regulatory Affairs Manager,11-9199.02,Compliance Managers,partial
111632,Regulatory Affairs Manager,11-9199.08,Loss Prevention Managers,partial
111632,Regulatory Affairs Manager,11-9199.09,Wind Energy Operations Managers,partial
111632,Regulatory Affairs Manager,11-9199.10,Wind Energy Development Managers,partial
111632,Regulatory Affairs Manager,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,partial
111632,Regulatory Affairs Manager,13-1082.00,Project Management Specialists,partial
111632,Regulatory Affairs Manager,13-1081.00,Logisticians,partial
111632,Regulatory Affairs Manager,13-1081.01,Logistics Engineers,partial
111632,Regulatory Affairs Manager,13-1081.02,Logistics Analysts,partial
111632,Regulatory Affairs Manager,13-1111.00,Management Analysts,partial
111633,Work Health and Safety Manager,11-3111.00,Compensation and Benefits Managers,partial
111633,Work Health and Safety Manager,11-3121.00,Human Resources Managers,partial
111633,Work Health and Safety Manager,11-3131.00,Training and Development Managers,partial
112131,Advertising Manager,11-2011.00,Advertising and Promotions Managers,partial
112131,Advertising Manager,11-2032.00,Public Relations Managers,partial
112131,Advertising Manager,11-2033.00,Fundraising Managers,partial
112132,Business Development Manager,11-2021.00,Marketing Managers,partial
112132,Business Development Manager,11-2022.00,Sales Managers,partial
112133,Sales and Marketing Manager,11-2021.00,Marketing Managers,partial
112133,Sales and Marketing Manager,11-2022.00,Sales Managers,partial
112231,Communications Manager (Public Relations),11-2011.00,Advertising and Promotions Managers,partial
112231,Communications Manager (Public Relations),11-2032.00,Public Relations Managers,partial
112231,Communications Manager (Public Relations),11-2033.00,Fundraising Managers,partial
113131,Chief Information Officer,11-3021.00,Computer and Information Systems Managers,exact
113132,Chief Information Security Officer,11-3021.00,Computer and Information Systems Managers,exact
113231,ICT Operations Manager,11-3021.00,Computer and Information Systems Managers,exact
113232,ICT Project Manager,11-3021.00,Computer and Information Systems Managers,exact
113233,ICT Service Delivery Manager,11-3021.00,Computer and Information Systems Managers,exact
113299,ICT Managers nec,11-3021.00,Computer and Information Systems Managers,exact
121131,Chief Executive or Managing Director,11-1011.00,Chief Executives,partial
121131,Chief Executive or Managing Director,11-1011.03,Chief Sustainability Officers,partial
121131,Chief Executive or Managing Director,11-1021.00,General and Operations Managers,partial
121131,Chief Executive or Managing Director,11-9161.00,Emergency Management Directors,partial
121131,Chief Executive or Managing Director,11-2032.00,Public Relations Managers,partial
121131,Chief Executive or Managing Director,11-2033.00,Fundraising Managers,partial
121131,Chief Executive or Managing Director,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",partial
121131,Chief Executive or Managing Director,11-9179.00,"Personal Service Managers, All Other",partial
121131,Chief Executive or Managing Director,11-9179.01,Fitness and Wellness Coordinators,partial
121131,Chief Executive or Managing Director,11-9179.02,Spa Managers,partial
121131,Chief Executive or Managing Director,11-9199.00,"Managers, All Other",partial
121131,Chief Executive or Managing Director,11-9199.01,Regulatory Affairs Managers,partial
121131,Chief Executive or Managing Director,11-9199.02,Compliance Managers,partial
121131,Chief Executive or Managing Director,11-9199.08,Loss Prevention Managers,partial
121131,Chief Executive or Managing Director,11-9199.09,Wind Energy Operations Managers,partial
121131,Chief Executive or Managing Director,11-9199.10,Wind Energy Development Managers,partial
121131,Chief Executive or Managing Director,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,partial
121131,Chief Executive or Managing Director,13-1082.00,Project Management Specialists,partial
121231,Corporate General Manager,11-1011.00,Chief Executives,partial
121231,Corporate General Manager,11-1011.03,Chief Sustainability Officers,partial
121231,Corporate General Manager,11-1021.00,General and Operations Managers,partial
121231,Corporate General Manager,11-9161.00,Emergency Management Directors,partial
121231,Corporate General Manager,11-2032.00,Public Relations Managers,partial
121231,Corporate General Manager,11-2033.00,Fundraising Managers,partial
121231,Corporate General Manager,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",partial
121231,Corporate General Manager,11-9179.00,"Personal Service Managers, All Other",partial
121231,Corporate General Manager,11-9179.01,Fitness and Wellness Coordinators,partial
121231,Corporate General Manager,11-9179.02,Spa Managers,partial
121231,Corporate General Manager,11-9199.00,"Managers, All Other",partial
121231,Corporate General Manager,11-9199.01,Regulatory Affairs Managers,partial
121231,Corporate General Manager,11-9199.02,Compliance Managers,partial
121231,Corporate General Manager,11-9199.08,Loss Prevention Managers,partial
121231,Corporate General Manager,11-9199.09,Wind Energy Operations Managers,partial
