osca_code,osca_title
121131,Chief Executive or Managing Director
121231,Corporate General Manager
121232,Defence Force Senior Officer
149231,Commissioned Defence Force Officer
121331,Local Government Legislator
121332,Member of Parliament
121399,Legislators nec
151331,Aquaculture Farmer
343131,Aquaculture Supervisor
151131,Cotton Grower
343136,Senior Broadacre Crop Farm Worker
151231,Flower Grower
343134,Horticultural Supervisor or Specialist
151232,Fruit Grower
151233,Nut Grower
151132,"Grain, Oilseed, Pulse or Pasture Grower"
151237,Wine Grape Grower
343137,Vineyard Supervisor
151299,Horticultural Crop Growers nec
151399,Mixed Production and Aquaculture Farmers nec
151133,Sugar Cane Grower
151235,Turf Grower
151236,Vegetable Grower
151199,Broadacre Crop Growers nec
151234,Production Nursery Grower
343199,"Senior Aquaculture, Crop and Forestry Workers nec"
152931,Apiarist
152131,Beef Cattle Farmer
343231,Senior Beef Cattle Station Worker
152231,Dairy Cattle Farmer
343233,Senior Dairy Cattle Farm Worker
152999,Livestock Farmers nec
152932,Goat Farmer
152933,Horse Breeder
343234,Senior Horse Stable or Stud Worker
152331,Mixed Cattle and Sheep Farmer
343232,Senior Cattle and Sheep Farm Worker
152934,Pig Farmer
343235,Senior Piggery Stockperson
152935,Poultry Farmer
343299,Senior Livestock Farm Workers nec
152431,Sheep Farmer
343236,Senior Sheep Farm Worker
151332,Broadacre Crop and Livestock Farmer
343135,Senior Broadacre Crop and Livestock Farm Worker
112132,Business Development Manager
112133,Sales and Marketing Manager
112131,Advertising Manager
112231,Communications Manager (Public Relations)
111131,Corporate Services Manager
111231,Finance Manager
111331,Human Resources Manager
111633,Work Health and Safety Manager
111431,Policy and Planning Manager
111531,Research and Development Manager
131131,Construction Project Manager
131331,Project Builder
131231,Engineering Manager
133131,Importer or Exporter
133132,Wholesaler
132131,Manufacturer
132231,Forest Manager
132232,Production Manager (Manufacturing)
132233,Production Manager (Mining)
133331,Supply and Distribution Manager
133231,Procurement Manager
141231,Children's Education and Care Service Director
141333,Medical Administrator
141331,Aged Care Manager
141332,Director of Nursing / Midwifery
141399,Health and Welfare Service Managers nec
141335,Welfare Centre Manager
141334,Paramedic Manager
141131,Assistant School Principal
141132,School Principal
141431,Faculty Manager
141432,Regional Education Manager
141499,Education Managers nec
113131,Chief Information Officer
113132,Chief Information Security Officer
113232,ICT Project Manager
113231,ICT Operations Manager
113233,ICT Service Delivery Manager
113299,ICT Managers nec
149232,Commissioned Fire Officer
149233,Commissioned Police Officer
149431,Senior Non-commissioned Defence Force Member
149131,Arts Administrator or Manager
149331,Environmental Manager
149333,Laboratory Manager
111631,Quality Assurance Manager
111632,Regulatory Affairs Manager
149133,Sports Administrator
131931,Surveying Manager
131999,Construction and Engineering Managers nec
149199,"Arts, Culture and Sports Administrators nec"
149332,Exploration Manager
149399,Scientific and Environmental Managers nec
149931,Airport Manager
149932,Correctional Facility Manager
149933,Emergency Management Officer
149999,Specialist Managers nec
172934,Security Manager (Non-ICT)
161231,Cafe or Restaurant Manager
161232,Catering Manager
161931,Caravan Park and Camping Ground Manager
161431,Hotel or Motel Manager
161531,Licensed Club Manager
161932,Hosted Accommodation Operator
172933,Retirement Village Manager
161999,"Hospitality, Tourism and Venue Managers nec"
162131,Retail Manager (General)
162132,Antique Dealer
161332,Betting Agency Manager
172431,Hair or Beauty Salon Manager
162133,Post Office Manager
161933,Travel Agency Manager
161331,Amusement Centre Manager
161334,Fitness Centre Manager
161335,Sports Centre Manager
172131,Call or Contact Centre Manager
172132,Customer Service Manager
172231,Event Manager
172531,Fleet Manager
172532,Railway Station Manager
172533,Transport Company Manager
172931,Boarding Kennel or Cattery Operator
161333,Cinema or Theatre Manager
172331,Facilities Manager
171131,Financial Institution Manager
172932,Equipment Hire Manager
161399,"Entertainment, Fitness and Sports Venue Managers nec"
172499,"Hair, Body and Beauty Service Managers nec"
172999,Service Managers nec
231131,Actor
231134,Dancer or Choreographer
231132,Circus Performer or Trainer
231135,Entertainer or Variety Performer
231133,Content Creator (Social Media)
231199,"Actors, Dancers and Other Entertainers nec"
231699,Music Professionals nec
231631,Composer
231632,Music Director
231633,Musician (Instrumental)
231634,Singer
391331,Photographer
231731,Painter (Visual Arts)
