unit_group_code,unit_group_title,occupation_code,occupation_title
1111,Corporate Services Managers,111131,Corporate Services Manager
1112,Finance Managers,111231,Finance Manager
1113,Human Resources Managers,111331,Human Resources Manager
1114,Policy and Planning Managers,111431,Policy and Planning Manager
1115,Research and Development Managers,111531,Research and Development Manager
1116,Workplace Compliance Managers,111631,Quality Assurance Manager
1116,Workplace Compliance Managers,111632,Regulatory Affairs Manager
1116,Workplace Compliance Managers,111633,Work Health and Safety Manager
1121,Business Promotion Managers,112131,Advertising Manager
1121,Business Promotion Managers,112132,Business Development Manager
1121,Business Promotion Managers,112133,Sales and Marketing Manager
1122,Communications Managers (Public Relations),112231,Communications Manager (Public Relations)
1131,Chief Information and Chief Information Security Officers,113131,Chief Information Officer
1131,Chief Information and Chief Information Security Officers,113132,Chief Information Security Officer
1132,ICT Managers,113231,ICT Operations Manager
1132,ICT Managers,113232,ICT Project Manager
1132,ICT Managers,113233,ICT Service Delivery Manager
1132,ICT Managers,113299,ICT Managers nec
1211,Chief Executives and Managing Directors,121131,Chief Executive or Managing Director
1212,General Managers and Defence Force Senior Officers,121231,Corporate General Manager
1212,General Managers and Defence Force Senior Officers,121232,Defence Force Senior Officer
1213,Legislators,121331,Local Government Legislator
1213,Legislators,121332,Member of Parliament
1213,Legislators,121399,Legislators nec
1311,Construction Project Managers,131131,Construction Project Manager
1312,Engineering Managers,131231,Engineering Manager
1313,Project Builders,131331,Project Builder
1314,Property Developers,131431,Property Developer
1319,Other Construction and Engineering Managers,131931,Surveying Manager
1319,Other Construction and Engineering Managers,131999,Construction and Engineering Managers nec
1321,Manufacturers,132131,Manufacturer
1322,Production Managers,132231,Forest Manager
1322,Production Managers,132232,Production Manager (Manufacturing)
1322,Production Managers,132233,Production Manager (Mining)
1331,"Importers, Exporters and Wholesalers",133131,Importer or Exporter
1331,"Importers, Exporters and Wholesalers",133132,Wholesaler
1332,Procurement Managers,133231,Procurement Manager
1333,Supply and Distribution Managers,133331,Supply and Distribution Manager
1411,Assistant School Principals and School Principals,141131,Assistant School Principal
1411,Assistant School Principals and School Principals,141132,School Principal
1412,Children's Education and Care Service Directors,141231,Children's Education and Care Service Director
1413,Health and Welfare Service Managers,141331,Aged Care Manager
1413,Health and Welfare Service Managers,141332,Director of Nursing / Midwifery
1413,Health and Welfare Service Managers,141333,Medical Administrator
1413,Health and Welfare Service Managers,141334,Paramedic Manager
1413,Health and Welfare Service Managers,141335,Welfare Centre Manager
1413,Health and Welfare Service Managers,141399,Health and Welfare Service Managers nec
1414,Other Education Managers,141431,Faculty Manager
1414,Other Education Managers,141432,Regional Education Manager
1414,Other Education Managers,141499,Education Managers nec
1491,"Arts, Culture and Sports Administrators",149131,Arts Administrator or Manager
1491,"Arts, Culture and Sports Administrators",149132,Library Services Manager
1491,"Arts, Culture and Sports Administrators",149133,Sports Administrator
1491,"Arts, Culture and Sports Administrators",149199,"Arts, Culture and Sports Administrators nec"
1492,Commissioned Officers (Management),149231,Commissioned Defence Force Officer
1492,Commissioned Officers (Management),149232,Commissioned Fire Officer
1492,Commissioned Officers (Management),149233,Commissioned Police Officer
1493,Scientific and Environmental Managers,149331,Environmental Manager
1493,Scientific and Environmental Managers,149332,Exploration Manager
1493,Scientific and Environmental Managers,149333,Laboratory Manager
1493,Scientific and Environmental Managers,149399,Scientific and Environmental Managers nec
1494,Senior Non-commissioned Defence Force Members,149431,Senior Non-commissioned Defence Force Member
1499,Other Specialist Managers,149931,Airport Manager
1499,Other Specialist Managers,149932,Correctional Facility Manager
1499,Other Specialist Managers,149933,Emergency Management Officer
1499,Other Specialist Managers,149999,Specialist Managers nec
1511,Broadacre Crop Growers,151131,Cotton Grower
1511,Broadacre Crop Growers,151132,"Grain, Oilseed, Pulse or Pasture Grower"
1511,Broadacre Crop Growers,151133,Sugar Cane Grower
1511,Broadacre Crop Growers,151199,Broadacre Crop Growers nec
1512,Horticultural Crop Growers,151231,Flower Grower
1512,Horticultural Crop Growers,151232,Fruit Grower
1512,Horticultural Crop Growers,151233,Nut Grower
1512,Horticultural Crop Growers,151234,Production Nursery Grower
1512,Horticultural Crop Growers,151235,Turf Grower
1512,Horticultural Crop Growers,151236,Vegetable Grower
1512,Horticultural Crop Growers,151237,Wine Grape Grower
1512,Horticultural Crop Growers,151299,Horticultural Crop Growers nec
1513,Mixed Production and Aquaculture Farmers,151331,Aquaculture Farmer
1513,Mixed Production and Aquaculture Farmers,151332,Broadacre Crop and Livestock Farmer
1513,Mixed Production and Aquaculture Farmers,151399,Mixed Production and Aquaculture Farmers nec
1521,Beef Cattle Farmers,152131,Beef Cattle Farmer
1522,Dairy Cattle Farmers,152231,Dairy Cattle Farmer
1523,Mixed Cattle and Sheep Farmers,152331,Mixed Cattle and Sheep Farmer
1524,Sheep Farmers,152431,Sheep Farmer
1529,Other Livestock Farmers,152931,Apiarist
1529,Other Livestock Farmers,152932,Goat Farmer
1529,Other Livestock Farmers,152933,Horse Breeder
1529,Other Livestock Farmers,152934,Pig Farmer
1529,Other Livestock Farmers,152935,Poultry Farmer
1529,Other Livestock Farmers,152999,Livestock Farmers nec
1611,Accommodation Service Managers,161131,Accommodation Service Manager
1612,"Cafe, Restaurant and Catering Managers",161231,Cafe or Restaurant Manager
1612,"Cafe, Restaurant and Catering Managers",161232,Catering Manager
1613,"Entertainment, Fitness and Sports Venue Managers",161331,Amusement Centre Manager
1613,"Entertainment, Fitness and Sports Venue Managers",161332,Betting Agency Manager
1613,"Entertainment, Fitness and Sports Venue Managers",161333,Cinema or Theatre Manager
1613,"Entertainment, Fitness and Sports Venue Managers",161334,Fitness Centre Manager
1613,"Entertainment, Fitness and Sports Venue Managers",161335,Sports Centre Manager
1613,"Entertainment, Fitness and Sports Venue Managers",161399,"Entertainment, Fitness and Sports Venue Managers nec"
1614,Hotel and Motel Managers,161431,Hotel or Motel Manager
1615,Licensed Club Managers,161531,Licensed Club Manager
1616,Senior Chefs,161631,Senior Chef
1619,"Other Hospitality, Tourism and Venue Managers",161931,Caravan Park and Camping Ground Manager
1619,"Other Hospitality, Tourism and Venue Managers",161932,Hosted Accommodation Operator
1619,"Other Hospitality, Tourism and Venue Managers",161933,Travel Agency Manager
1619,"Other Hospitality, Tourism and Venue Managers",161999,"Hospitality, Tourism and Venue Managers nec"
1621,Retail Managers,162131,Retail Manager (General)
1621,Retail Managers,162132,Antique Dealer
1621,Retail Managers,162133,Post Office Manager
1711,Financial Institution Managers,171131,Financial Institution Manager
1712,Office and Payroll Managers,171231,Office Manager
1712,Office and Payroll Managers,171232,Payroll Manager
1713,Practice Managers,171331,Health Practice Manager
1713,Practice Managers,171332,Legal Practice Manager
1713,Practice Managers,171333,Veterinary Practice Manager
1713,Practice Managers,171399,Practice Managers nec
1714,Real Estate Agency Principals,171431,Real Estate Agency Principal
1721,Call Centre and Customer Service Managers,172131,Call or Contact Centre Manager
1721,Call Centre and Customer Service Managers,172132,Customer Service Manager
1722,Event Managers,172231,Event Manager
1723,Facilities Managers,172331,Facilities Manager
1724,"Hair, Body and Beauty Service Managers",172431,Hair or Beauty Salon Manager
1724,"Hair, Body and Beauty Service Managers",172499,"Hair, Body and Beauty Service Managers nec"
1725,Transport Service Managers,172531,Fleet Manager
1725,Transport Service Managers,172532,Railway Station Manager
1725,Transport Service Managers,172533,Transport Company Manager
1729,Other Service Managers,172931,Boarding Kennel or Cattery Operator
1729,Other Service Managers,172932,Equipment Hire Manager
1729,Other Service Managers,172933,Retirement Village Manager
1729,Other Service Managers,172934,Security Manager (Non-ICT)
1729,Other Service Managers,172999,Service Managers nec
2111,Accountants and Corporate Treasurers,211131,Accountant (General)
2111,Accountants and Corporate Treasurers,211132,Corporate Treasurer
2111,Accountants and Corporate Treasurers,211133,Forensic Accountant
2111,Accountants and Corporate Treasurers,211134,Management Accountant
2111,Accountants and Corporate Treasurers,211135,Taxation Accountant
2112,Auditors,211231,External Auditor
2112,Auditors,211232,Internal Auditor
2121,Financial Advisers,212131,Financial Adviser
2122,Financial Dealers,212231,Financial Market Dealer
2122,Financial Dealers,212232,Stockbroker
2123,Investment Specialists,212331,Capital Markets Specialist
2123,Investment Specialists,212332,Investment Analyst
2123,Investment Specialists,212333,Investment Manager
2129,Other Financial Services and Investment Specialists,212931,Credit Risk Manager
2129,Other Financial Services and Investment Specialists,212999,Financial Services and Investment Specialists nec
2211,Advertising Specialists,221131,Advertising Specialist
2212,Communications Officers (Public Relations),221231,Communications Officer (Public Relations)
2213,Electorate and Liaison Officers,221331,Electorate Officer
2213,Electorate and Liaison Officers,221332,Liaison Officer
2214,ICT Business Development Managers,221431,ICT Business Development Manager
2215,Marketing Professionals,221531,Content Creator (Marketing)
2215,Marketing Professionals,221532,Digital Marketing Analyst
2215,Marketing Professionals,221533,Market Research Analyst
2215,Marketing Professionals,221534,Marketing Specialist
2216,Technical Sales Representatives,221631,ICT Account Manager
2216,Technical Sales Representatives,221632,ICT Sales Representative
2216,Technical Sales Representatives,221633,Sales Representative (Industrial Products)
2216,Technical Sales Representatives,221634,Sales Representative (Medical and Pharmaceutical Products)
2216,Technical Sales Representatives,221699,Technical Sales Representatives nec
2221,Human Resources and Workplace Relations Advisers,222131,Human Resources Adviser
2221,Human Resources and Workplace Relations Advisers,222132,Workplace Relations Adviser
2222,Recruitment Consultants,222231,Recruitment Consultant
2223,Rehabilitation Consultants and Work Health and Safety Advisers,222331,Rehabilitation Consultant
2223,Rehabilitation Consultants and Work Health and Safety Advisers,222332,Work Health and Safety Adviser
2224,Training and Development Professionals,222431,Training and Development Professional
2231,"Actuaries, Mathematicians and Statisticians",223131,Actuary
2231,"Actuaries, Mathematicians and Statisticians",223132,Mathematician
2231,"Actuaries, Mathematicians and Statisticians",223133,Statistician
2232,Data Professionals,223231,Data Analyst
2232,Data Professionals,223232,Data Architect
2232,Data Professionals,223233,Data Engineer
2232,Data Professionals,223234,Data Scientist
2233,Intelligence and Policy Analysts,223331,Intelligence Analyst
2233,Intelligence and Policy Analysts,223332,Policy Analyst
2234,Management and Organisation Analysts,223431,Enterprise Architect
2234,Management and Organisation Analysts,223432,Management Consultant
2234,Management and Organisation Analysts,223433,Organisation and Methods Analyst
2234,Management and Organisation Analysts,223434,Supply Chain Analyst
2235,Property and Valuation Professionals,223531,Asset Manager (Property)
2235,Property and Valuation Professionals,223532,Valuer
2239,Other Information and Organisation Professionals,223931,Company Secretary
2239,Other Information and Organisation Professionals,223932,Cost Controller
2239,Other Information and Organisation Professionals,223933,Health Information Manager
