postcode,state_code,region_id
0872,7,702
0852,7,702
5690,4,406
6646,5,511
6440,5,511
6762,5,510
0822,7,702
4892,3,315
6770,5,510
0862,7,702
6431,5,511
6728,5,510
6642,5,511
6443,5,511
4871,3,315
6434,5,511
4825,3,315
5723,4,406
4829,3,315
5731,4,406
5733,4,406
4492,3,315
4823,3,315
2880,1,105
5734,4,406
2840,1,105
6743,5,510
6751,5,510
6740,5,510
6705,5,511
4735,3,315
6725,5,510
6701,5,511
5440,4,406
4702,3,308
4480,3,315
5724,4,406
4730,3,315
4820,3,318
4821,3,315
6760,5,510
6436,5,511
4490,3,315
4481,3,315
4482,3,315
6639,5,511
4822,3,315
4824,3,315
4830,3,315
2836,1,105
6630,5,511
5719,4,406
2835,1,105
4816,3,318
6635,5,511
5720,4,406
6753,5,510
4721,3,312
5717,4,406
4874,3,315
6532,5,511
6429,5,511
2831,1,105
6758,5,510
6710,5,510
4474,3,315
6640,5,511
2648,1,109
6438,5,511
2711,1,109
6716,5,510
6426,5,509
6452,5,511
4472,3,315
4470,3,315
5417,4,406
4890,3,315
4733,3,315
3490,2,215
2878,1,105
6714,5,510
4804,3,312
5713,4,406
6638,5,511
6450,5,511
2715,1,109
4488,3,307
4465,3,307
4726,3,315
2879,1,105
4736,3,315
4478,3,315
4487,3,307
4724,3,315
2839,1,105
6437,5,511
4722,3,308
5732,4,406
6612,5,511
4725,3,315
4731,3,315
2710,1,109
4455,3,307
4477,3,315
4486,3,307
6445,5,511
2832,1,105
4420,3,308
4828,3,315
5434,4,406
4728,3,315
4872,3,306
6765,5,510
4742,3,312
4895,3,315
2877,1,105
2675,1,113
4406,3,307
6484,5,509
4468,3,315
4413,3,307
6721,5,510
7116,6,603
2400,1,110
6472,5,509
4850,3,318
6346,5,511
4732,3,315
5715,4,406
2825,1,105
2354,1,110
4805,3,312
5680,4,406
5432,4,406
2460,1,104
4454,3,307
4727,3,315
4705,3,312
5607,4,406
2829,1,105
6620,5,511
4493,3,315
2652,1,113
4491,3,315
6355,5,509
6707,5,511
7469,6,604
4718,3,308
2850,1,103
2388,1,110
4723,3,308
6359,5,509
5641,4,406
4630,3,319
4467,3,307
4720,3,308
4390,3,307
2795,1,103
5730,4,406
2580,1,101
4489,3,315
4417,3,307
4680,3,308
2669,1,103
2372,1,110
6722,5,510
2824,1,105
4627,3,319
2350,1,110
7140,6,603
6537,5,511
5611,4,406
2833,1,105
3401,2,215
2370,1,110
2390,1,110
2630,1,101
4741,3,312
4419,3,307
4719,3,308
2330,1,106
5302,4,407
4479,3,315
5223,4,407
2550,1,101
6479,5,509
4626,3,319
4570,3,319
2871,1,103
4671,3,319
6338,5,509
2650,1,113
6343,5,509
6536,5,511
2365,1,110
2440,1,108
6447,5,511
6356,5,509
3885,2,205
4497,3,307
2838,1,105
5670,4,406
4745,3,312
2405,1,110
6337,5,509
6353,5,509
2360,1,110
2583,1,101
3496,2,215
3888,2,205
2343,1,110
2737,1,109
4352,3,307
2337,1,106
2340,1,110
2357,1,105
2671,1,103
2622,1,101
5602,4,406
5267,4,407
4625,3,319
5311,4,407
2422,1,108
4422,3,307
7030,6,603
2582,1,101
5275,4,407
5422,4,405
6468,5,509
4387,3,307
3723,2,204
4744,3,312
2347,1,110
2700,1,113
2830,1,105
6507,5,509
4707,3,312
4610,3,319
2827,1,105
6521,5,509
3418,2,215
2787,1,124
2646,1,109
2665,1,113
2329,1,106
5654,4,406
6623,5,511
2834,1,105
4357,3,307
4405,3,307
2849,1,103
3701,2,204
2823,1,105
4715,3,308
6258,5,501
6302,5,509
5271,4,407
6324,5,509
2642,1,113
6315,5,509
6390,5,509
2810,1,103
6519,5,511
4650,3,319
2469,1,112
2873,1,103
6275,5,501
6535,5,511
5655,4,406
6515,5,511
3862,2,205
2716,1,109
3858,2,205
2720,1,113
2790,1,103
6328,5,509
2870,1,103
2820,1,105
4800,3,312
4807,3,318
4423,3,307
6518,5,511
3875,2,205
5431,4,405
3678,2,204
2828,1,105
7321,6,604
6525,5,511
2666,1,113
6336,5,509
4428,3,307
2821,1,105
2628,1,101
2586,1,101
2875,1,103
4415,3,307
7330,6,604
6391,5,509
2733,1,109
6503,5,509
6308,5,509
6475,5,509
4370,3,307
2446,1,108
6225,5,501
2406,1,110
6244,5,501
6631,5,511
6369,5,509
2644,1,109
2594,1,101
7304,6,602
2581,1,101
2380,1,110
2738,1,109
4746,3,312
6306,5,509
5266,4,407
4416,3,307
2800,1,103
2404,1,110
3304,2,217
5301,4,407
2346,1,110
6341,5,509
2361,1,110
5280,4,407
3312,2,217
3477,2,215
6522,5,511
5272,4,407
2358,1,110
2371,1,110
2707,1,113
2680,1,113
3851,2,205
3707,2,204
3825,2,205
4380,3,307
6333,5,509
3579,2,215
2732,1,109
6365,5,509
5330,4,407
5642,4,406
2540,1,114
2396,1,105
2382,1,110
3691,2,204
2632,1,101
6317,5,509
2844,1,103
6395,5,509
2453,1,104
4601,3,319
2429,1,108
6383,5,509
7190,6,603
2672,1,103
4670,3,319
5259,4,407
2734,1,109
5268,4,407
4613,3,319
6304,5,509
5291,4,407
3737,2,204
4462,3,307
6603,5,509
4854,3,306
4496,3,307
3890,2,205
3889,2,205
6262,5,501
6375,5,509
2397,1,110
4581,3,319
2333,1,106
6415,5,509
3352,2,201
5304,4,407
2627,1,101
4494,3,307
4426,3,307
3420,2,215
5264,4,407
2620,1,101
6398,5,501
4421,3,307
2328,1,106
2402,1,110
4621,3,319
4743,3,312
6424,5,509
2409,1,110
2325,1,106
2629,1,101
5603,4,406
6260,5,501
2843,1,105
3409,2,215
2722,1,113
6394,5,509
4873,3,306
2408,1,110
5320,4,407
2474,1,112
2410,1,110
7264,6,602
2656,1,113
4660,3,319
5238,4,407
2381,1,110
6446,5,511
3551,2,202
6517,5,511
6510,5,509
2756,1,115
4706,3,308
3480,2,215
6320,5,509
5419,4,405
6330,5,509
2731,1,109
4498,3,307
4677,3,308
6485,5,509
4385,3,307
7255,6,602
7120,6,603
3314,2,217
2551,1,101
3860,2,205
3393,2,215
6396,5,509
4515,3,313
7214,6,602
6401,5,509
2480,1,112
3666,2,204
5575,4,405
5433,4,406
3424,2,215
3533,2,215
4615,3,319
2874,1,103
2386,1,105
4285,3,311
2423,1,108
4876,3,315
3891,2,205
3315,2,217
2590,1,113
2842,1,105
3379,2,215
4806,3,318
4314,3,313
3318,2,215
6312,5,509
4407,3,307
2359,1,110
3512,2,215
5309,4,407
3898,2,205
