region_id,label
109,Murray
110,New England and North West
108,Mid North Coast
120,Sydney - Inner West
103,Central West
125,Sydney - Parramatta
112,Richmond - Tweed
121,Sydney - North Sydney and Hornsby
119,Sydney - Inner South West
115,Sydney - Baulkham Hills and Hawkesbury
116,Sydney - Blacktown
101,Capital Region
104,Coffs Harbour - Grafton
107,Illawarra
113,Riverina
124,Sydney - Outer West and Blue Mountains
105,Far West and Orana
117,Sydney - City and Inner South
123,Sydney - Outer South West
127,Sydney - South West
106,Hunter Valley exc Newcastle
102,Central Coast
126,Sydney - Ryde
114,Southern Highlands and Shoalhaven
111,Newcastle and Lake Macquarie
122,Sydney - Northern Beaches
118,Sydney - Eastern Suburbs
128,Sydney - Sutherland
197,Migratory - Offshore - Shipping (NSW)
199,No usual address (NSW)
204,Hume
215,North West
201,Ballarat
217,Warrnambool and South West
209,Melbourne - North East
205,Latrobe - Gippsland
208,Melbourne - Inner South
207,Melbourne - Inner East
210,Melbourne - North West
213,Melbourne - West
216,Shepparton
212,Melbourne - South East
211,Melbourne - Outer East
202,Bendigo
206,Melbourne - Inner
214,Mornington Peninsula
203,Geelong
297,Migratory - Offshore - Shipping (Vic.)
299,No usual address (Vic.)
318,Townsville
315,Queensland - Outback
306,Cairns
307,Darling Downs - Maranoa
308,Central Queensland
311,Logan - Beaudesert
309,Gold Coast
310,Ipswich
312,Mackay - Isaac - Whitsunday
319,Wide Bay
303,Brisbane - South
305,Brisbane Inner City
304,Brisbane - West
302,Brisbane - North
301,Brisbane - East
313,Moreton Bay - North
316,Sunshine Coast
317,Toowoomba
314,Moreton Bay - South
397,Migratory - Offshore - Shipping (Qld)
399,No usual address (Qld)
401,Adelaide - Central and Hills
407,South Australia - South East
406,South Australia - Outback
405,Barossa - Yorke - Mid North
402,Adelaide - North
404,Adelaide - West
403,Adelaide - South
497,Migratory - Offshore - Shipping (SA)
499,No usual address (SA)
509,Western Australia - Wheat Belt
506,Perth - South East
510,Western Australia - Outback (North)
501,Bunbury
504,Perth - North East
503,Perth - Inner
505,Perth - North West
507,Perth - South West
511,Western Australia - Outback (South)
502,Mandurah
597,Migratory - Offshore - Shipping (WA)
599,No usual address (WA)
602,Launceston and North East
601,Hobart
604,West and North West
603,South East
697,Migratory - Offshore - Shipping (Tas.)
699,No usual address (Tas.)
702,Northern Territory - Outback
701,Darwin
797,Migratory - Offshore - Shipping (NT)
799,No usual address (NT)
801,Australian Capital Territory
897,Migratory - Offshore - Shipping (ACT)
899,No usual address (ACT)
901,Other Territories
997,Migratory - Offshore - Shipping (OT)
999,No usual address (OT)
ZZZ,Outside Australia
