skill_id,label,category
skill_reading_comprehension,Reading Comprehension,foundational
skill_learning_strategies,Learning Strategies,foundational
skill_active_learning,Active Learning,foundational
skill_critical_thinking,Critical Thinking,foundational
skill_science,Science,foundational
skill_monitoring,Monitoring,foundational
skill_speaking,Speaking,foundational
skill_writing,Writing,foundational
skill_active_listening,Active Listening,foundational
skill_mathematics,Mathematics,foundational
skill_navisworks_jetstream,NavisWorks Jetstream,technical
skill_bootstrap,Bootstrap,technical
skill_atlassian_bitbucket,Atlassian Bitbucket,technical
skill_operational_data_store_ods_software,Operational Data Store ODS software,technical
skill_relational_database_management_system_software,Relational database management system software,technical
skill_pyspark,PySpark,technical
skill_microsoft_azure_data_factory,Microsoft Azure Data Factory,technical
skill_informatica_software,Informatica software,technical
skill_autodesk_navisworks,Autodesk Navisworks,technical
skill_redis,Redis,technical
skill_vector_database_software,Vector database software,technical
skill_snowflake,Snowflake,technical
skill_scikit_learn,Scikit-learn,technical
skill_graphql,GraphQL,technical
skill_prometheus,Prometheus,technical
skill_pandas,pandas,technical
skill_langchain,LangChain,technical
skill_jenkins_ci,Jenkins CI,technical
skill_ibm_websphere_mq,IBM WebSphere MQ,technical
skill_microsoft_power_automate,Microsoft Power Automate,technical
skill_apache_jmeter,Apache JMeter,technical
skill_restful_api,RESTful API,technical
skill_microsoft_internet_information_services_iis_manager,Microsoft Internet Information Services (IIS) Manager,technical
skill_microsoft_internet_information_services_iis,Microsoft Internet Information Services (IIS),technical
skill_drupal,Drupal,technical
skill_unreal_technology_unreal_engine,Unreal Technology Unreal Engine,technical
skill_unity_technologies_unity,Unity Technologies Unity,technical
skill_autodesk_maya,Autodesk Maya,technical
skill_adobe_xd,Adobe XD,technical
skill_web_application_software,Web application software,technical
skill_microsoft_power_platform_software,Microsoft Power Platform software,technical
skill_javascript_framework_software,JavaScript framework software,technical
skill_rest_assured,REST Assured,technical
skill_postman,Postman,technical
skill_microsoft_playwright,Microsoft Playwright,technical
skill_microsoft_azure_devops_services,Microsoft Azure DevOps Services,technical
skill_appium,Appium,technical
skill_ibm_terraform,IBM Terraform,technical
skill_vue_js,Vue.js,technical
skill_typescript,TypeScript,technical
skill_testng,TestNG,technical
skill_hugging_face,Hugging Face,technical
skill_tenable_nessus,Tenable Nessus,technical
skill_gitlab,GitLab,technical
skill_shopify_software,Shopify software,technical
skill_semrush,Semrush,technical
skill_screaming_frog_seo_spider,Screaming Frog SEO Spider,technical
skill_moz_search_engine_optimization_seo_software,Moz search engine optimization SEO software,technical
skill_google_tag_manager,Google Tag Manager,technical
skill_google_ads,Google Ads,technical
skill_google,Google,technical
skill_content_management_systems_cms,Content management systems CMS,technical
skill_firewall_software,Firewall software,technical
skill_bing_ads,Bing Ads,technical
skill_adobe_analytics,Adobe Analytics,technical
skill_microsoft_team_foundation_server,Microsoft Team Foundation Server,technical
skill_microsoft_asp_net,Microsoft ASP.NET,technical
skill_junit,JUnit,technical
skill_jquery,jQuery,technical
skill_hibernate_orm,Hibernate ORM,technical
skill_apache_subversion_svn,Apache Subversion SVN,technical
skill_apache_spark,Apache Spark,technical
skill_ahrefs_site_explorer,Ahrefs Site Explorer,technical
skill_microsoft_active_directory,Microsoft Active Directory,technical
skill_mitre_att_ck_software,MITRE ATT&CK software,technical
skill_intuit_turbotax,Intuit TurboTax,technical
skill_apache_airflow,Apache Airflow,technical
skill_amazon_web_services_aws_sagemaker,Amazon Web Services AWS SageMaker,technical
skill_software_development_tools,Software development tools,technical
skill_emass,eMASS,technical
skill_border_gateway_protocol_bgp,Border Gateway Protocol BGP,technical
skill_unix_shell,UNIX Shell,technical
skill_spring_boot,Spring Boot,technical
skill_sap_erp,SAP ERP,technical
skill_red_hat_openshift,Red Hat OpenShift,technical
skill_oracle_sql_developer,Oracle SQL Developer,technical
skill_oracle_java_2_platform_enterprise_edition_j2ee,Oracle Java 2 Platform Enterprise Edition J2EE,technical
skill_oracle_cloud_software,Oracle Cloud software,technical
skill_ibm_db2,IBM DB2,technical
skill_amazon_web_services_aws_cloudformation,Amazon Web Services AWS CloudFormation,technical
skill_tax_software,Tax software,technical
skill_tax_compliance_property_tax_management_software,Tax compliance property tax management software,technical
skill_tensorflow,TensorFlow,technical
skill_pytorch,PyTorch,technical
skill_sap_concur,SAP Concur,technical
skill_grafana_labs_grafana_cloud,Grafana Labs Grafana Cloud,technical
skill_web_application_framework_software,Web application framework software,technical
skill_qgis,QGIS,technical
skill_esri_arcgis_arcpy,ESRI ArcGIS ArcPy,technical
skill_archivists_toolkit,Archivists' Toolkit,technical
skill_orion_law_management_systems_orion,Orion Law Management Systems Orion,technical
skill_thomson_reuters_westlaw,Thomson Reuters Westlaw,technical
skill_sparta_systems_trackwise,Sparta Systems TrackWise,technical
skill_guidance_software_encase_enterprise,Guidance Software EnCase Enterprise,technical
skill_transportation_management_system_tms_software,Transportation management system TMS software,technical
skill_google_meet,Google Meet,technical
skill_redcap_research_electronic_data_capture,REDCap Research Electronic Data Capture,technical
skill_springshare_libguides,Springshare LibGuides,technical
skill_qualtrics_insight,Qualtrics Insight,technical
skill_snakemake,Snakemake,technical
skill_bioconductor_software,Bioconductor software,technical
skill_electronic_lab_notebook_software,Electronic lab notebook software,technical
skill_autodesk_inventor,Autodesk Inventor,technical
skill_pvsyst,PVsyst,technical
skill_aurora_helioscope,Aurora HelioScope,technical
skill_zemax,Zemax,technical
skill_national_instruments_labview,National Instruments LabVIEW,technical
skill_rockware_modflow,RockWare MODFLOW,technical
skill_articulate_storyline,Articulate Storyline,technical
skill_techsmith_camtasia,TechSmith Camtasia,technical
skill_adobe_premiere_pro,Adobe Premiere Pro,technical
skill_mastercam_computer_aided_design_and_manufacturing_software,Mastercam computer-aided design and manufacturing software,technical
skill_g_code,G-code,technical
skill_order_management_software,Order management software,technical
skill_payroll_software,Payroll software,technical
skill_adp_workforce_now,ADP Workforce Now,technical
skill_sabre_central_command,Sabre Central Command,technical
skill_amadeus_crs,Amadeus CRS,technical
skill_inventory_control_system_software,Inventory control system software,technical
skill_patient_management_software,Patient management software,technical
skill_web_browser_software,Web browser software,technical
skill_davinci_resolve,DaVinci Resolve,technical
skill_video_editing_software,Video editing software,technical
skill_apple_final_cut_pro,Apple Final Cut Pro,technical
skill_adobe_photoshop_lightroom,Adobe Photoshop Lightroom,technical
skill_productivity_software,Productivity software,technical
skill_adobe_audition,Adobe Audition,technical
skill_microsoft_edge,Microsoft Edge,technical
skill_sidefx_houdini,SideFX Houdini,technical
skill_maxon_cinema_4d,Maxon Cinema 4D,technical
skill_embedded_systems_development_software,Embedded systems development software,technical
skill_web_server_software,Web server software,technical
skill_siemens_teamcenter,Siemens Teamcenter,technical
skill_mechanical_electrical_plumbing_mep_design_software,Mechanical electrical plumbing MEP design software,technical
skill_statistical_software,Statistical software,technical
skill_statacorp_stata,StataCorp Stata,technical
skill_sas_jmp,SAS JMP,technical
skill_version_control_software,Version control software,technical
skill_perforce_software,Perforce software,technical
skill_chatbot_software,Chatbot software,technical
skill_solidity,Solidity,technical
skill_rust_programming_language,Rust programming language,technical
skill_numpy,NumPy,technical
skill_single_sign_on_sso,Single sign-on SSO,technical
skill_portswigger_burp_suite,Portswigger BurP Suite,technical
skill_nmap,Nmap,technical
skill_metasploit,Metasploit,technical
skill_kali_linux,Kali Linux,technical
skill_rockware_arcmap,RockWare ArcMap,technical
skill_ajax,AJAX,technical
skill_geographic_information_system_gis_software,Geographic information system GIS software,technical
skill_esri_arcgis_survey_123,ESRI ArcGIS Survey 123,technical
skill_qualys_cloud_platform,Qualys Cloud Platform,technical
skill_chaos_enscape,Chaos Enscape,technical
skill_mcneel_rhinoceros_3d,McNeel Rhinoceros 3D,technical
skill_esri_arcview,ESRI ArcView,technical
skill_forsk_atoll,Forsk Atoll,technical
skill_ansys_simulation_software,ANSYS simulation software,technical
skill_skm_systems_analysis_power_tools,SKM Systems Analysis Power Tools,technical
skill_etap,ETAP,technical
skill_very_high_speed_integrated_circuit_vhsic_hardware_description_language_vhdl_simulation_software,Very high speed integrated circuit VHSIC hardware description language VHDL simulation software,technical
skill_verilog,Verilog,technical
skill_tool_command_language_tcl,Tool command language Tcl,technical
skill_systemverilog,SystemVerilog,technical
skill_simulation_program_with_integrated_circuit_emphasis_spice,Simulation program with integrated circuit emphasis SPICE,technical
skill_pci_express_pcie,PCI Express PCIe,technical
skill_magellan_firmware,Magellan Firmware,technical
skill_hec_ras,HEC-RAS,technical
