soc_2010_code,soc_2018_code,match_type
11-1011,11-1011,exact
11-1021,11-1021,exact
11-1031,11-1031,exact
11-2011,11-2011,exact
11-2021,11-2021,exact
11-2022,11-2022,exact
11-2031,11-2032,partial
11-2031,11-2033,partial
11-3011,11-3012,partial
11-3011,11-3013,partial
11-3021,11-3021,exact
11-3031,11-3031,exact
11-3051,11-3051,exact
11-3061,11-3061,exact
11-3071,11-3071,exact
11-3111,11-3111,exact
11-3121,11-3121,exact
11-3131,11-3131,exact
11-9013,11-9013,exact
11-9021,11-9021,exact
11-9031,11-9031,exact
11-9032,11-9032,exact
11-9033,11-9033,exact
11-9039,11-9039,exact
11-9041,11-9041,exact
11-9051,11-9051,exact
11-9061,11-9171,exact
11-9071,11-9071,exact
11-9081,11-9081,exact
11-9111,11-9111,exact
11-9121,11-9121,exact
11-9131,11-9131,exact
11-9141,11-9141,exact
11-9151,11-9151,exact
11-9161,11-9161,exact
11-9199,11-9072,partial
11-9199,11-9179,partial
11-9199,11-9199,partial
11-9199,13-1082,partial
13-1011,13-1011,exact
13-1021,13-1021,exact
13-1022,13-1022,exact
13-1023,13-1023,exact
13-1031,13-1031,exact
13-1032,13-1032,exact
13-1041,13-1041,exact
13-1051,13-1051,exact
13-1071,13-1071,exact
13-1074,13-1074,exact
13-1075,13-1075,exact
13-1081,13-1081,exact
13-1111,13-1111,exact
13-1121,13-1121,exact
13-1131,13-1131,exact
13-1141,13-1141,exact
13-1151,13-1151,exact
13-1161,13-1161,exact
13-1199,13-1082,partial
13-1199,13-1199,partial
13-2011,13-2011,exact
13-2021,13-2022,partial
13-2021,13-2023,partial
13-2031,13-2031,exact
13-2041,13-2041,exact
13-2051,13-2051,partial
13-2051,13-2054,partial
13-2052,13-2052,exact
13-2053,13-2053,exact
13-2061,13-2061,exact
13-2071,13-2071,exact
13-2072,13-2072,exact
13-2081,13-2081,exact
13-2082,13-2082,exact
13-2099,13-2054,partial
13-2099,13-2099,partial
15-1111,15-1221,exact
15-1121,15-1211,exact
15-1122,15-1212,exact
15-1131,15-1251,exact
15-1132,15-1252,partial
15-1132,15-1253,partial
15-1133,15-1252,partial
15-1133,15-1253,partial
15-1134,15-1254,partial
15-1134,15-1255,partial
15-1141,15-1242,partial
15-1141,15-1243,partial
15-1142,15-1244,exact
15-1143,15-1241,exact
15-1151,15-1232,exact
15-1152,15-1231,exact
15-1199,13-1082,partial
15-1199,15-1243,partial
15-1199,15-1253,partial
15-1199,15-1255,partial
15-1199,15-1299,partial
15-2011,15-2011,exact
15-2021,15-2021,exact
15-2031,15-2031,exact
15-2041,15-2041,exact
15-2091,15-2099,partial
15-2099,15-2051,partial
15-2099,15-2099,partial
17-1011,17-1011,exact
17-1012,17-1012,exact
17-1021,17-1021,exact
17-1022,17-1022,exact
17-2011,17-2011,exact
17-2021,17-2021,exact
17-2031,17-2031,exact
17-2041,17-2041,exact
17-2051,17-2051,exact
17-2061,17-2061,exact
17-2071,17-2071,exact
17-2072,17-2072,exact
17-2081,17-2081,exact
17-2111,17-2111,exact
17-2112,17-2112,exact
17-2121,17-2121,exact
17-2131,17-2131,exact
17-2141,17-2141,exact
17-2151,17-2151,exact
17-2161,17-2161,exact
17-2171,17-2171,exact
17-2199,17-2199,exact
17-3011,17-3011,exact
17-3012,17-3012,exact
17-3013,17-3013,exact
17-3019,17-3019,exact
17-3021,17-3021,exact
17-3022,17-3022,exact
17-3023,17-3023,exact
17-3024,17-3024,exact
17-3025,17-3025,exact
17-3026,17-3026,exact
17-3027,17-3027,exact
17-3029,17-3028,partial
17-3029,17-3029,partial
17-3031,17-3031,exact
19-1011,19-1011,exact
19-1012,19-1012,exact
19-1013,19-1013,exact
19-1021,19-1021,exact
19-1022,19-1022,exact
19-1023,19-1023,exact
19-1029,19-1029,exact
19-1031,19-1031,exact
19-1032,19-1032,exact
19-1041,19-1041,exact
19-1042,19-1042,exact
19-1099,19-1099,exact
19-2011,19-2011,exact
19-2012,19-2012,exact
19-2021,19-2021,exact
19-2031,19-2031,exact
19-2032,19-2032,exact
19-2041,19-2041,exact
19-2042,19-2042,exact
19-2043,19-2043,exact
19-2099,19-2099,exact
19-3011,19-3011,exact
19-3022,19-3022,exact
19-3031,19-3033,partial
19-3031,19-3034,partial
19-3032,19-3032,exact
19-3039,19-3039,exact
19-3041,19-3041,exact
19-3051,19-3051,exact
19-3091,19-3091,exact
19-3092,19-3092,exact
19-3093,19-3093,exact
19-3094,19-3094,exact
19-3099,19-3099,exact
19-4011,19-4012,partial
19-4011,19-4013,partial
19-4021,19-4021,exact
19-4031,19-4031,exact
19-4041,19-4043,partial
19-4041,19-4044,partial
19-4051,19-4051,exact
19-4061,19-4061,exact
19-4091,19-4042,exact
19-4092,19-4092,exact
19-4093,19-4071,exact
19-4099,19-4044,partial
19-4099,19-4099,partial
21-1011,21-1011,exact
21-1012,21-1012,exact
21-1013,21-1013,exact
21-1014,21-1014,exact
21-1015,21-1015,exact
21-1019,21-1019,exact
21-1021,21-1021,exact
21-1022,21-1022,exact
21-1023,21-1023,exact
21-1029,21-1029,exact
21-1091,21-1091,exact
21-1092,21-1092,exact
21-1093,21-1093,exact
21-1094,21-1094,exact
21-1099,21-1099,exact
21-2011,21-2011,exact
21-2021,21-2021,exact
21-2099,21-2099,exact
23-1011,23-1011,exact
23-1012,23-1012,exact
23-1021,23-1021,exact
23-1022,23-1022,exact
23-1023,23-1023,exact
23-2011,23-2011,exact
23-2091,27-3092,exact
23-2093,23-2093,exact
23-2099,23-2099,exact
25-1011,25-1011,exact
25-1021,25-1021,exact
25-1022,25-1022,exact
25-1031,25-1031,exact
25-1032,25-1032,exact
25-1041,25-1041,exact
25-1042,25-1042,exact
25-1043,25-1043,exact
25-1051,25-1051,exact
25-1052,25-1052,exact
25-1053,25-1053,exact
25-1054,25-1054,exact
25-1061,25-1061,exact
25-1062,25-1062,exact
25-1063,25-1063,exact
25-1064,25-1064,exact
25-1065,25-1065,exact
25-1066,25-1066,exact
25-1067,25-1067,exact
25-1069,25-1069,exact
25-1071,25-1071,exact
25-1072,25-1072,exact
25-1081,25-1081,exact
25-1082,25-1082,exact
25-1111,25-1111,exact
25-1112,25-1112,exact
25-1113,25-1113,exact
25-1121,25-1121,exact
25-1122,25-1122,exact
25-1123,25-1123,exact
25-1124,25-1124,exact
25-1125,25-1125,exact
25-1126,25-1126,exact
25-1191,25-9044,exact
25-1192,25-1192,exact
25-1193,25-1193,exact
25-1194,25-1194,exact
25-1199,25-1199,exact
25-2011,25-2011,exact
25-2012,25-2012,exact
25-2021,25-2021,exact
25-2022,25-2022,exact
25-2023,25-2023,exact
25-2031,25-2031,exact
25-2032,25-2032,exact
25-2051,25-2051,exact
25-2052,25-2055,partial
25-2052,25-2056,partial
25-2053,25-2057,exact
25-2054,25-2058,exact
25-2059,25-2059,exact
25-3011,25-3011,exact
25-3021,25-3021,exact
25-3099,25-3031,partial
25-3099,25-3041,partial
25-3099,25-3099,partial
25-4011,25-4011,exact
25-4012,25-4012,exact
25-4013,25-4013,exact
25-4021,25-4022,partial
25-4031,25-4031,exact
25-9011,25-4022,partial
25-9021,25-9021,exact
25-9031,25-9031,exact
25-9041,25-9042,partial
25-9041,25-9043,partial
25-9041,25-9049,partial
25-9099,25-9099,exact
27-1011,27-1011,exact
27-1012,27-1012,exact
27-1013,27-1013,exact
27-1014,27-1014,exact
27-1019,27-1019,exact
27-1021,27-1021,exact
27-1022,27-1022,exact
27-1023,27-1023,exact
