osca_id,osca_occupation_title,skill_type,top_rank,skill,score_field,score
261111,ICT Business Analyst,software,1,Amazon Web Services AWS software,rank,1
261111,ICT Business Analyst,software,2,Microsoft Azure software,rank,1
261111,ICT Business Analyst,software,3,Microsoft Excel,rank,1
261111,ICT Business Analyst,software,4,Microsoft Office software,rank,1
261111,ICT Business Analyst,software,5,Microsoft Power BI,rank,1
261111,ICT Business Analyst,software,6,Microsoft PowerPoint,rank,1
261111,ICT Business Analyst,software,7,Python,rank,1
261111,ICT Business Analyst,software,8,R,rank,1
261111,ICT Business Analyst,software,9,Salesforce software,rank,1
261111,ICT Business Analyst,software,10,SAP software,rank,1
261112,Systems Analyst,software,1,Atlassian JIRA,rank,1
261112,Systems Analyst,software,2,Microsoft Excel,rank,1
261112,Systems Analyst,software,3,Microsoft Office software,rank,1
261112,Systems Analyst,software,4,Microsoft Power BI,rank,1
261112,Systems Analyst,software,5,Microsoft PowerPoint,rank,1
261112,Systems Analyst,software,6,Python,rank,1
261112,Systems Analyst,software,7,SAP software,rank,1
261112,Systems Analyst,software,8,ServiceNow,rank,1
261112,Systems Analyst,software,9,Structured query language SQL,rank,1
261112,Systems Analyst,software,10,Microsoft SharePoint,rank,3
261211,Game and Multimedia Developer,software,1,Adobe Photoshop,rank,1
261211,Game and Multimedia Developer,software,2,C#,rank,1
261211,Game and Multimedia Developer,software,3,C++,rank,1
261211,Game and Multimedia Developer,software,4,Python,rank,1
261211,Game and Multimedia Developer,software,5,Autodesk Maya,rank,2
261211,Game and Multimedia Developer,software,6,Unity Technologies Unity,rank,2
261211,Game and Multimedia Developer,software,7,Unreal Technology Unreal Engine,rank,2
261211,Game and Multimedia Developer,software,8,Adobe After Effects,rank,3
261211,Game and Multimedia Developer,software,9,Adobe Creative Cloud software,rank,3
261211,Game and Multimedia Developer,software,10,Adobe Illustrator,rank,3
261212,Web Developer,software,1,Atlassian JIRA,rank,1
261212,Web Developer,software,2,Cascading style sheets CSS,rank,1
261212,Web Developer,software,3,Google Angular,rank,1
261212,Web Developer,software,4,GraphQL,rank,1
261212,Web Developer,software,5,Hypertext markup language HTML,rank,1
261212,Web Developer,software,6,JavaScript,rank,1
261212,Web Developer,software,7,Jenkins CI,rank,1
261212,Web Developer,software,8,Kubernetes,rank,1
261212,Web Developer,software,9,React,rank,1
261212,Web Developer,software,10,TypeScript,rank,1
261312,Developer Programmer,software,1,C#,rank,1
261312,Developer Programmer,software,2,C++,rank,1
261312,Developer Programmer,software,3,Cascading style sheets CSS,rank,1
261312,Developer Programmer,software,4,Extensible markup language XML,rank,1
261312,Developer Programmer,software,5,Git,rank,1
261312,Developer Programmer,software,6,Hypertext markup language HTML,rank,1
261312,Developer Programmer,software,7,JavaScript,rank,1
