soc_code,title,element_id,element_name,importance,level,importance_score,level_score,priority_score,osca_id,osca_occupation_title,osca_match_score
15-2051.01,Business Intelligence Analysts,2.B.4.e,Judgment and Decision Making,3.62,4.0,65.5,57.14,61.36,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.2.i,Complex Problem Solving,3.38,3.75,59.5,53.57,56.57,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.4.g,Systems Analysis,3.12,3.75,53.0,53.57,53.28,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.4.h,Systems Evaluation,3.12,3.75,53.0,53.57,53.28,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.5.a,Time Management,3.12,3.0,53.0,42.86,47.98,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.1.b,Coordination,3.0,3.0,50.0,42.86,46.47,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.1.e,Instructing,3.0,3.0,50.0,42.86,46.47,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.1.c,Persuasion,2.88,3.0,47.0,42.86,44.95,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.1.a,Social Perceptiveness,2.88,2.88,47.0,41.14,44.1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.1.f,Service Orientation,2.88,2.88,47.0,41.14,44.1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.1.d,Negotiation,2.5,2.88,37.5,41.14,39.3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.3.e,Programming,2.5,2.5,37.5,35.71,36.61,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.5.d,Management of Personnel Resources,2.12,2.0,28.0,28.57,28.28,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.5.b,Management of Financial Resources,1.88,1.75,22.0,25.0,23.48,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.3.m,Quality Control Analysis,2.0,1.5,25.0,21.43,23.23,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.3.a,Operations Analysis,1.88,1.62,22.0,23.14,22.56,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.5.c,Management of Material Resources,1.75,1.25,18.75,17.86,18.31,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.3.g,Operations Monitoring,1.75,1.12,18.75,16.0,17.39,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.3.b,Technology Design,1.62,0.88,15.5,12.57,14.05,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.3.h,Operation and Control,1.38,0.38,9.5,5.43,7.49,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.3.c,Equipment Selection,1.0,0.0,0.0,0.0,0.0,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.3.d,Installation,1.0,0.0,0.0,0.0,0.0,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.3.j,Equipment Maintenance,1.0,0.0,0.0,0.0,0.0,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.3.k,Troubleshooting,1.0,0.0,0.0,0.0,0.0,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,2.B.3.l,Repairing,1.0,0.0,0.0,0.0,0.0,261111,ICT Business Analyst,93.5
15-1211.01,Health Informatics Specialists,2.B.2.i,Complex Problem Solving,4.12,4.12,78.0,58.86,68.53,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.B.4.h,Systems Evaluation,3.75,4.25,68.75,60.71,64.77,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.B.4.e,Judgment and Decision Making,3.88,4.0,72.0,57.14,64.65,261112,Systems Analyst,79.5
15-1211.00,Computer Systems Analysts,2.B.4.h,Systems Evaluation,3.75,4.12,68.75,58.86,63.86,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.B.4.g,Systems Analysis,3.75,4.0,68.75,57.14,63.01,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.B.4.g,Systems Analysis,3.75,4.0,68.75,57.14,63.01,261112,Systems Analyst,79.5
15-1211.00,Computer Systems Analysts,2.B.4.e,Judgment and Decision Making,3.62,4.12,65.5,58.86,62.22,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.B.2.i,Complex Problem Solving,3.38,4.0,59.5,57.14,58.33,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.B.1.b,Coordination,3.5,3.75,62.5,53.57,58.08,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.B.1.e,Instructing,3.38,3.88,59.5,55.43,57.49,261112,Systems Analyst,79.5
15-1211.00,Computer Systems Analysts,2.B.3.e,Programming,3.25,4.0,56.25,57.14,56.69,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.B.3.k,Troubleshooting,3.12,3.88,53.0,55.43,54.2,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.B.5.a,Time Management,3.38,3.25,59.5,46.43,53.03,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.B.1.a,Social Perceptiveness,3.12,3.62,53.0,51.71,52.36,261112,Systems Analyst,79.5
15-1211.00,Computer Systems Analysts,2.B.3.a,Operations Analysis,3.0,3.75,50.0,53.57,51.77,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.B.1.f,Service Orientation,3.12,3.5,53.0,50.0,51.52,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.B.1.c,Persuasion,3.0,3.62,50.0,51.71,50.85,261112,Systems Analyst,79.5
15-1211.00,Computer Systems Analysts,2.B.5.a,Time Management,3.12,3.38,53.0,48.29,50.67,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.B.3.m,Quality Control Analysis,3.0,3.5,50.0,50.0,50.0,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.B.1.b,Coordination,3.12,3.25,53.0,46.43,49.75,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.B.1.e,Instructing,2.88,3.62,47.0,51.71,49.33,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.B.1.a,Social Perceptiveness,3.12,3.12,53.0,44.57,48.83,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.B.5.d,Management of Personnel Resources,3.12,3.0,53.0,42.86,47.98,261112,Systems Analyst,79.5
15-1211.00,Computer Systems Analysts,2.B.3.g,Operations Monitoring,3.0,3.12,50.0,44.57,47.31,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.B.1.f,Service Orientation,3.0,3.0,50.0,42.86,46.47,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.B.1.d,Negotiation,3.0,3.0,50.0,42.86,46.47,261112,Systems Analyst,79.5
15-1211.00,Computer Systems Analysts,2.B.3.b,Technology Design,2.88,3.12,47.0,44.57,45.8,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.B.3.e,Programming,2.88,3.12,47.0,44.57,45.8,261112,Systems Analyst,79.5
15-1211.00,Computer Systems Analysts,2.B.5.d,Management of Personnel Resources,2.88,3.0,47.0,42.86,44.95,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.B.1.c,Persuasion,2.75,3.0,43.75,42.86,43.31,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.B.3.m,Quality Control Analysis,2.75,3.0,43.75,42.86,43.31,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.B.3.a,Operations Analysis,2.75,2.88,43.75,41.14,42.46,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.B.3.b,Technology Design,2.75,2.88,43.75,41.14,42.46,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.B.3.g,Operations Monitoring,2.5,2.62,37.5,37.43,37.47,261112,Systems Analyst,79.5
15-1211.00,Computer Systems Analysts,2.B.1.d,Negotiation,2.5,2.5,37.5,35.71,36.61,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.B.3.h,Operation and Control,2.5,2.5,37.5,35.71,36.61,261112,Systems Analyst,97.0
15-1211.00,Computer Systems Analysts,2.B.3.c,Equipment Selection,2.25,2.38,31.25,34.0,32.61,261112,Systems Analyst,97.0
15-1211.01,Health Informatics Specialists,2.B.3.k,Troubleshooting,2.12,2.12,28.0,30.29,29.13,261112,Systems Analyst,79.5
15-1211.01,Health Informatics Specialists,2.B.5.b,Management of Financial Resources,2.12,2.12,28.0,30.29,29.13,261112,Systems Analyst,79.5
15-1211.00,Computer Systems Analysts,2.B.5.b,Management of Financial Resources,2.12,2.0,28.0,28.57,28.28,261112,Systems Analyst,97.0
