work_style_id,label
work_style_achievement_orientation,Achievement Orientation
work_style_adaptability,Adaptability
work_style_attention_to_detail,Attention to Detail
work_style_cautiousness,Cautiousness
work_style_cooperation,Cooperation
work_style_dependability,Dependability
work_style_empathy,Empathy
work_style_humility,Humility
work_style_initiative,Initiative
work_style_innovation,Innovation
work_style_integrity,Integrity
work_style_intellectual_curiosity,Intellectual Curiosity
work_style_leadership_orientation,Leadership Orientation
work_style_optimism,Optimism
work_style_perseverance,Perseverance
work_style_self_confidence,Self-Confidence
work_style_self_control,Self-Control
work_style_sincerity,Sincerity
work_style_social_orientation,Social Orientation
work_style_stress_tolerance,Stress Tolerance
work_style_tolerance_for_ambiguity,Tolerance for Ambiguity
