soc_code,title,workplace_example,element_id,element_name,hot_technology,in_demand,rank,osca_id,osca_occupation_title,osca_match_score
15-2051.01,Business Intelligence Analysts,Amazon Web Services AWS software,2.E.6.f,Data base user interface and query software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Microsoft Azure software,2.E.7.b,Development environment software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Microsoft Office software,2.E.1.k,Office suite software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Microsoft Power BI,2.E.6.m,Business intelligence and data analysis software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Python,2.E.7.e,Object or component oriented development software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,R,2.E.7.e,Object or component oriented development software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Salesforce software,2.E.6.c,Customer relationship management CRM software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,SAP software,2.E.2.b,Enterprise resource planning ERP software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,SAS,2.E.9.d,Analytical or scientific software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Snowflake,2.E.6.g,Data mining software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Structured query language SQL,2.E.6.f,Data base user interface and query software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Tableau,2.E.6.m,Business intelligence and data analysis software,Y,Y,1,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Adobe Acrobat,2.E.5.b,Document management software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,AJAX,2.E.7.h,Web platform development software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Alteryx software,2.E.6.m,Business intelligence and data analysis software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Amazon DynamoDB,2.E.6.d,Data base management system software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Amazon Elastic Compute Cloud EC2,2.E.6.f,Data base user interface and query software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Amazon Redshift,2.E.6.f,Data base user interface and query software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Apache Cassandra,2.E.6.d,Data base management system software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Apache Hadoop,2.E.6.d,Data base management system software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Apache Hive,2.E.6.d,Data base management system software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Apache Kafka,2.E.7.b,Development environment software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Apache Spark,2.E.6.m,Business intelligence and data analysis software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Apache Tomcat,2.E.7.h,Web platform development software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Atlassian Confluence,2.E.1.e,Project management software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Atlassian JIRA,2.E.5.a,Content workflow software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Bash,2.E.13.c,Operating system software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,C,2.E.7.b,Development environment software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,C#,2.E.7.e,Object or component oriented development software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,C++,2.E.7.e,Object or component oriented development software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Django,2.E.7.h,Web platform development software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Eclipse IDE,2.E.7.b,Development environment software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Elasticsearch,2.E.6.d,Data base management system software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Epic Systems,2.E.9.i,Medical software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,ESRI ArcGIS software,2.E.8.h,Geographic information system,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Extensible markup language XML,2.E.7.c,Enterprise application integration software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Facebook,2.E.4.g,Web page creation and editing software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Git,2.E.5.c,File versioning software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,GitHub,2.E.10.a,Application server software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Go,2.E.7.b,Development environment software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Google Analytics,2.E.6.g,Data mining software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Google Docs,2.E.4.d,Word processing software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Google Looker Analytics,2.E.6.m,Business intelligence and data analysis software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Hibernate ORM,2.E.6.j,Object oriented data base management software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Hypertext markup language HTML,2.E.7.h,Web platform development software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,IBM DB2,2.E.6.f,Data base user interface and query software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,IBM SPSS Statistics,2.E.9.d,Analytical or scientific software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,Informatica software,2.E.6.i,Metadata management software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,JavaScript,2.E.7.h,Web platform development software,Y,N,3,261111,ICT Business Analyst,93.5
15-2051.01,Business Intelligence Analysts,JavaScript Object Notation JSON,2.E.7.h,Web platform development software,Y,N,3,261111,ICT Business Analyst,93.5
